Hugo_Symbol,3'Flank,3'UTR,5'Flank,5'UTR,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Intron,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,RNA,Silent,Splice_Site,Translation_Start_Site,DEL,INS,ONP,SNP,TNP,pnum
A1BG,0.0,18.0,0.0,5.0,2.0,1.0,1.0,0.0,44.0,73.0,5.0,0.0,0.0,26.0,2.0,0.0,5.0,1.0,0.0,171.0,0.0,151
A1CF,0.0,9.0,0.0,31.0,8.0,3.0,0.0,0.0,7.0,174.0,22.0,0.0,0.0,72.0,12.0,1.0,10.0,3.0,0.0,326.0,0.0,248
A2M,0.0,11.0,0.0,13.0,4.0,0.0,0.0,0.0,14.0,320.0,27.0,0.0,0.0,129.0,8.0,0.0,8.0,2.0,0.0,516.0,0.0,386
A2ML1,0.0,0.0,0.0,12.0,5.0,4.0,1.0,0.0,6.0,318.0,23.0,0.0,0.0,125.0,11.0,0.0,6.0,4.0,0.0,495.0,0.0,370
A3GALT2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,22.0,1.0,0.0,0.0,8.0,1.0,0.0,2.0,0.0,0.0,32.0,0.0,32
A4GALT,0.0,12.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,61.0,4.0,0.0,0.0,40.0,0.0,0.0,5.0,1.0,0.0,117.0,0.0,98
A4GNT,0.0,4.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,80.0,5.0,0.0,0.0,31.0,1.0,0.0,2.0,2.0,0.0,122.0,0.0,106
AAAS,0.0,3.0,0.0,9.0,8.0,1.0,1.0,0.0,0.0,74.0,7.0,0.0,0.0,35.0,1.0,0.0,9.0,1.0,1.0,128.0,0.0,108
AACS,0.0,11.0,0.0,4.0,3.0,1.0,0.0,0.0,8.0,108.0,6.0,0.0,0.0,53.0,5.0,0.0,4.0,1.0,0.0,194.0,0.0,164
AACSP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,55.0,0.0,51
AADAC,0.0,0.0,0.0,6.0,3.0,3.0,0.0,0.0,0.0,82.0,9.0,0.0,0.0,44.0,0.0,0.0,3.0,3.0,0.0,141.0,0.0,127
AADACL2,0.0,11.0,0.0,12.0,3.0,1.0,2.0,0.0,0.0,123.0,13.0,0.0,0.0,20.0,2.0,0.0,6.0,1.0,0.0,180.0,0.0,145
AADACL3,15.0,0.0,3.0,15.0,1.0,1.0,0.0,0.0,0.0,72.0,6.0,0.0,0.0,37.0,0.0,1.0,1.0,1.0,0.0,149.0,0.0,129
AADACL4,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,105.0,7.0,0.0,0.0,45.0,3.0,0.0,0.0,1.0,0.0,168.0,0.0,141
AADAT,0.0,1.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,55.0,3.0,0.0,0.0,19.0,2.0,0.0,2.0,1.0,0.0,89.0,0.0,85
AAED1,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,38.0,0.0,36
AAGAB,0.0,5.0,0.0,4.0,5.0,0.0,0.0,0.0,3.0,32.0,3.0,0.0,0.0,15.0,1.0,0.0,5.0,0.0,0.0,63.0,0.0,63
AAK1,41.0,50.0,0.0,8.0,2.0,0.0,2.0,0.0,10.0,115.0,5.0,0.0,0.0,47.0,4.0,0.0,10.0,4.0,0.0,270.0,0.0,209
AAMDC,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,14.0,2.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,28.0,0.0,29
AAMP,0.0,14.0,0.0,9.0,5.0,0.0,0.0,0.0,5.0,34.0,4.0,0.0,0.0,15.0,6.0,0.0,5.0,0.0,0.0,87.0,0.0,80
AANAT,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,29.0,2.0,1.0,0.0,18.0,0.0,0.0,1.0,0.0,0.0,50.0,0.0,47
AAR2,0.0,16.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,66.0,0.0,0.0,0.0,30.0,2.0,0.0,3.0,0.0,0.0,116.0,0.0,103
AARD,0.0,17.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,39.0,1.0,0.0,0.0,26.0,1.0,0.0,3.0,0.0,0.0,85.0,0.0,74
AARS,0.0,9.0,0.0,0.0,6.0,3.0,0.0,0.0,2.0,117.0,7.0,0.0,0.0,60.0,4.0,0.0,6.0,3.0,0.0,199.0,0.0,175
AARS2,0.0,12.0,0.0,1.0,8.0,1.0,0.0,0.0,18.0,149.0,10.0,0.0,0.0,63.0,5.0,0.0,9.0,1.0,0.0,257.0,0.0,211
AARSD1,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,19.0,0.0,0.0,3.0,0.0,0.0,67.0,0.0,61
AASDH,0.0,2.0,0.0,1.0,12.0,4.0,2.0,0.0,1.0,153.0,25.0,0.0,0.0,59.0,7.0,0.0,14.0,4.0,0.0,248.0,0.0,225
AASDHPPT,0.0,7.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,59.0,8.0,0.0,0.0,25.0,1.0,1.0,2.0,0.0,0.0,108.0,0.0,91
AASS,0.0,8.0,0.0,7.0,7.0,2.0,0.0,0.0,1.0,187.0,22.0,0.0,0.0,74.0,8.0,0.0,7.0,2.0,0.0,307.0,0.0,244
AATF,0.0,11.0,0.0,1.0,0.0,2.0,0.0,0.0,5.0,80.0,10.0,1.0,0.0,24.0,1.0,0.0,0.0,2.0,0.0,133.0,0.0,112
AATK,0.0,7.0,6.0,0.0,1.0,1.0,1.0,0.0,20.0,109.0,7.0,0.0,0.0,57.0,0.0,0.0,8.0,2.0,0.0,199.0,0.0,174
AATK-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,10
ABAT,0.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,95.0,7.0,0.0,0.0,45.0,3.0,0.0,1.0,0.0,0.0,158.0,0.0,130
ABCA1,0.0,35.0,0.0,3.0,25.0,5.0,2.0,0.0,38.0,354.0,25.0,0.0,0.0,113.0,11.0,0.0,31.0,6.0,0.0,574.0,0.0,404
ABCA10,0.0,14.0,0.0,13.0,18.0,6.0,2.0,0.0,8.0,295.0,41.0,0.0,0.0,74.0,7.0,0.0,20.0,6.0,0.0,452.0,0.0,326
ABCA11P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,6.0,0.0,0.0,127.0,0.0,114
ABCA12,0.0,17.0,0.0,10.0,39.0,11.0,0.0,0.0,11.0,642.0,61.0,0.0,0.0,198.0,29.0,0.0,41.0,11.0,0.0,966.0,0.0,606
ABCA13,0.0,19.0,0.0,0.0,35.0,18.0,3.0,0.0,7.0,1090.0,109.0,0.0,0.0,356.0,19.0,0.0,38.0,18.0,0.0,1600.0,0.0,977
ABCA17P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,1.0,0.0,0.0,46.0,0.0,38
ABCA2,0.0,12.0,0.0,0.0,8.0,2.0,0.0,0.0,9.0,290.0,12.0,0.0,0.0,171.0,10.0,0.0,8.0,2.0,0.0,504.0,0.0,349
ABCA3,0.0,15.0,0.0,15.0,8.0,0.0,0.0,0.0,21.0,244.0,16.0,0.0,0.0,199.0,9.0,0.0,9.0,1.0,0.0,517.0,0.0,385
ABCA4,0.0,8.0,0.0,11.0,5.0,2.0,0.0,0.0,23.0,396.0,42.0,0.0,0.0,200.0,21.0,0.0,5.0,3.0,0.0,700.0,0.0,477
ABCA5,0.0,10.0,0.0,0.0,24.0,8.0,1.0,0.0,7.0,261.0,38.0,0.0,0.0,65.0,8.0,0.0,26.0,8.0,0.0,388.0,0.0,281
