geneid,score
enhancers::chr17:73118800-73122400::NA::NA,0.9999994
enhancers::chr17:73130000-73130800::NA::NA,0.9999994
enhancers::chr17:73136600-73137600::NA::NA,0.9999994
enhancers::chr17:73142600-73143200::NA::NA,0.9999994
enhancers::chr17:73144000-73145400::NA::NA,0.9999994
enhancers::chr17:73187400-73188200::NA::NA,0.9999994
enhancers::chr17:73224200-73226000::NA::NA,0.9999993
enhancers::chr17:73311600-73317000::NA::NA,0.99999964
enhancers::chr17:73656800-73658600::NA::NA,0.9999995
enhancers::chr17:73691000-73697600::NA::NA,0.9999995
enhancers::chr17:73698000-73700600::NA::NA,0.9999995
enhancers::chr17:73701000-73705000::NA::NA,0.9999995
enhancers::chr17:73804200-73807000::NA::NA,0.99999964
enhancers::chr17:73807600-73810000::NA::NA,0.99999964
enhancers::chr17:73810600-73811600::NA::NA,0.99999964
enhancers::chr17:73815600-73816600::NA::NA,0.99999964
enhancers::chr17:73918600-73920000::NA::NA,0.99999964
enhancers::chr17:73946800-73947600::NA::NA,0.99999964
enhancers::chr17:74017400-74018600::NA::NA,0.9999994
enhancers::chr17:74042000-74042600::NA::NA,0.9999994
enhancers::chr17:74044000-74044600::NA::NA,0.9999994
enhancers::chr17:74046000-74048200::NA::NA,0.9999994
enhancers::chr17:74059200-74060200::NA::NA,0.9999994
enhancers::chr17:74085200-74086800::NA::NA,0.9999994
enhancers::chr17:74087000-74088400::NA::NA,0.9999994
enhancers::chr17:75196600-75197400::NA::NA,0.9999993
enhancers::chr1:149916000-149917600::NA::NA,1.0
enhancers::chr1:149939200-149939800::NA::NA,1.0
enhancers::chr1:150056600-150058400::NA::NA,1.0
enhancers::chr1:150128400-150131000::NA::NA,1.0
enhancers::chr1:150179200-150179800::NA::NA,1.0
enhancers::chr1:150198000-150198800::NA::NA,1.0
enhancers::chr1:150222400-150223000::NA::NA,1.0
enhancers::chr1:150595800-150600200::NA::NA,1.0
enhancers::chr1:150626600-150627400::NA::NA,1.0
enhancers::chr1:150630000-150631200::NA::NA,1.0
enhancers::chr1:150685400-150686000::NA::NA,1.0
enhancers::chr1:150721400-150722000::NA::NA,1.0
enhancers::chr1:150734600-150737000::NA::NA,1.0
enhancers::chr1:150743200-150744200::NA::NA,0.99999976
enhancers::chr1:150770600-150773200::NA::NA,0.99999976
enhancers::chr1:150793000-150794000::NA::NA,1.0
enhancers::chr1:150808200-150809600::NA::NA,0.9999995
enhancers::chr1:150819000-150819800::NA::NA,0.9999995
enhancers::chr1:150861400-150863400::NA::NA,0.9999995
enhancers::chr1:150864000-150865000::NA::NA,0.9999995
enhancers::chr1:150886400-150888000::NA::NA,1.0
enhancers::chr1:150927800-150928400::NA::NA,1.0
enhancers::chr1:150938200-150943000::NA::NA,1.0
enhancers::chr1:151143000-151145000::NA::NA,0.99999964
enhancers::chr1:151179600-151180400::NA::NA,1.0
enhancers::chr1:151209400-151211400::NA::NA,1.0
enhancers::chr1:151231200-151232000::NA::NA,1.0
enhancers::chr1:151263800-151266200::NA::NA,1.0
enhancers::chr1:151266800-151268000::NA::NA,1.0
enhancers::chr1:151458000-151458600::NA::NA,0.9999999
enhancers::chr1:151464000-151465000::NA::NA,0.9999999
enhancers::chr1:153635400-153638800::NA::NA,1.0
enhancers::chr1:153718200-153726200::NA::NA,1.0
enhancers::chr1:153732800-153733600::NA::NA,1.0
enhancers::chr1:153735600-153737400::NA::NA,1.0
enhancers::chr1:153788600-153789400::NA::NA,1.0
enhancers::chr1:153825800-153827600::NA::NA,1.0
enhancers::chr1:153986400-153987200::NA::NA,1.0
enhancers::chr1:154061600-154062200::NA::NA,1.0
enhancers::chr1:154076800-154077600::NA::NA,1.0
enhancers::chr1:154087000-154088000::NA::NA,1.0
enhancers::chr1:154101600-154102800::NA::NA,1.0
enhancers::chr1:154114000-154114600::NA::NA,1.0
enhancers::chr1:154184600-154185600::NA::NA,1.0
enhancers::chr1:154208200-154211000::NA::NA,1.0
enhancers::chr1:154214000-154215000::NA::NA,1.0
enhancers::chr1:154309800-154310600::NA::NA,1.0
enhancers::chr1:154555600-154558200::NA::NA,1.0
enhancers::chr1:154868200-154869800::NA::NA,1.0
enhancers::chr1:154897200-154900000::NA::NA,0.9999999
enhancers::chr1:155051000-155055200::NA::NA,1.0
enhancers::chr1:155184400-155185600::NA::NA,1.0
enhancers::chr1:155348400-155350000::NA::NA,1.0
enhancers::chr1:155366600-155367400::NA::NA,1.0
enhancers::chr1:155444600-155445800::NA::NA,1.0
enhancers::chr1:155491800-155492400::NA::NA,1.0
enhancers::chr1:155867400-155868800::NA::NA,1.0
enhancers::chr1:155876800-155878600::NA::NA,1.0
enhancers::chr1:155883600-155884400::NA::NA,1.0
enhancers::chr1:155929800-155933000::NA::NA,1.0
enhancers::chr1:155982200-155983400::NA::NA,1.0
enhancers::chr1:156010400-156012000::NA::NA,1.0
enhancers::chr1:156064800-156066600::NA::NA,1.0
enhancers::chr1:156189600-156190200::NA::NA,1.0
enhancers::chr1:156218200-156224000::NA::NA,1.0
enhancers::chr1:156238200-156238800::NA::NA,1.0
enhancers::chr1:156277600-156279000::NA::NA,1.0
enhancers::chr1:156280800-156282200::NA::NA,1.0
enhancers::chr1:156289600-156290400::NA::NA,1.0
enhancers::chr1:156392000-156394000::NA::NA,1.0
enhancers::chr1:156399000-156406600::NA::NA,1.0
enhancers::chr1:156447600-156448200::NA::NA,1.0
enhancers::chr1:156511400-156512000::NA::NA,1.0
enhancers::chr1:156512600-156514200::NA::NA,1.0
enhancers::chr1:156517600-156518400::NA::NA,1.0
enhancers::chr1:156519800-156524200::NA::NA,1.0
enhancers::chr1:156529000-156531000::NA::NA,1.0
enhancers::chr1:156689600-156691600::NA::NA,1.0
enhancers::chr1:156755400-156756800::NA::NA,1.0
enhancers::chr1:156916000-156916600::NA::NA,1.0
enhancers::chr1:156925800-156928600::NA::NA,1.0
enhancers::chr1:156931400-156932800::NA::NA,1.0
enhancers::chr1:160215600-160217400::NA::NA,0.9999994
enhancers::chr1:160220800-160223000::NA::NA,0.9999994
enhancers::chr1:160296000-160296600::NA::NA,0.9999994
enhancers::chr1:161011200-161012000::NA::NA,1.0
enhancers::chr1:161299800-161300600::NA::NA,1.0
enhancers::chr1:162673200-162680800::NA::NA,1.0
enhancers::chr1:162693800-162694800::NA::NA,1.0
enhancers::chr1:162710200-162712400::NA::NA,1.0
enhancers::chr1:162827200-162830000::NA::NA,1.0
enhancers::chr1:162878200-162879400::NA::NA,1.0
enhancers::chr1:167733800-167734800::NA::NA,0.99999964
enhancers::chr1:167741400-167746800::NA::NA,0.99999964
enhancers::chr1:167751800-167752600::NA::NA,0.99999964
enhancers::chr1:167799000-167799600::NA::NA,0.9999999
enhancers::chr1:167824600-167826200::NA::NA,0.9999999
enhancers::chr1:167829600-167830400::NA::NA,0.9999999
enhancers::chr1:167833400-167834000::NA::NA,0.9999999
enhancers::chr1:167844400-167845000::NA::NA,0.9999999
enhancers::chr1:167926600-167927200::NA::NA,0.9999999
enhancers::chr1:167966000-167966800::NA::NA,0.9999999
enhancers::chr1:168019400-168020600::NA::NA,1.0
enhancers::chr1:168075200-168075800::NA::NA,1.0
