Hugo_Symbol,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,Silent,Splice_Site,Translation_Start_Site,DEL,INS,SNP,pnum,gene length,silent,nonsense,splice site,missense,recurrent missense,normalized missense position entropy,frameshift indel,inframe indel,normalized mutation entropy,Mean Missense MGAEntropy,Mean VEST Score,lost start and stop,missense to silent,non-silent to silent,inactivating p-value,entropy p-value,vest p-value,combined p-value,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,all_mean,all_var,up_mean,up_var,down_mean,down_var,dnam_mean,dnam_var,AAA_ref,AAC_ref,AAG_ref,AAT_ref,ACA_ref,ACC_ref,ACG_ref,ACT_ref,AGA_ref,AGC_ref,AGG_ref,ATA_ref,ATC_ref,ATG_ref,CAA_ref,CAC_ref,CAG_ref,CCA_ref,CCC_ref,CCG_ref,CGA_ref,CGC_ref,CTA_ref,CTC_ref,GAA_ref,GAC_ref,GCA_ref,GCC_ref,GGA_ref,GTA_ref,TAA_ref,TCA_ref,cadd_mean,cadd_var,exp_mean,exp_var,class
NTRK1,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8.0,8.0,2391.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.073000871,0.4425,0.0,8.0,8.0,0.414593698,0.817744522,0.534473544,0.798810243,20.52208149,208.0,0.04542559,0.055172583,1945.0,7.63,1.7995346,9.8016664,2.0318743,-1.0566667,0.006592333,1.49823057,0.033173019,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,2,0,0,0,20.09511111,81.82229511,2.5603445566406093,8.148770162309411,1.0
ERBB2,3.0,0.0,1.0,0.0,29.0,0.0,0.0,0,0.0,0.0,4.0,0.0,29.0,30.0,3768.0,0.0,0.0,0.0,0.878787879,0.424242424,0.769974172,0.090909091,0.03030303,0.764747796,0.544024067,0.678030303,0.0,29.0,33.0,0.992063492,0.0,0.0,2.4e-09,20.29332795,226.0,0.03763767,0.000661984,122.0,15.06477,23.206703,28.35122,31.00705,-7.6329164,2.1271905,0.582238539,0.031967679,0,1,0,0,4,1,3,0,9,0,0,1,0,0,6,1,0,0,0,2,0,0,0,1,0,0,0,2,2,0,0,1,24.78911765,53.81228102,9.729914448261484,21.069497053506023,1.0
PIK3CA,0.0,0.0,15.0,0.0,378.0,0.0,0.0,0,0.0,0.0,15.0,0.0,378.0,352.0,3207.0,0.0,0.0,0.0,0.961832061,0.786259542,0.402808848,0.0,0.038167939,0.388116627,0.263853584,0.876366412,0.0,378.0,393.0,1.0,0.0,0.0,2.4e-09,18.61643864,613.0,0.01079402,0.00023606,52.0,6.0290527,4.6741318,10.167305,6.0827807,-3.133004,0.34402555,0.137584466,0.002863667,5,0,0,2,5,6,5,0,13,2,2,0,3,172,0,1,14,6,2,0,4,0,0,11,8,3,4,0,3,1,1,136,25.73626406,16.38980373,6.437032950417321,13.485687223062936,1.0
ESR1,1.0,0.0,1.0,0.0,7.0,1.0,0.0,0,0.0,0.0,2.0,0.0,8.0,10.0,1788.0,0.0,0.1,0.0,0.7,0.0,1.0,0.1,0.1,0.879588002,0.636996487,0.7731,0.0,7.0,10.0,0.254841998,0.117412234,0.137607139,0.082810135,17.75594769,568.0,-0.000170025,0.007286856,630.0,2.9288888,1.12133995,5.843846,0.9791202,-4.65,0.83418805,0.738638367,0.110418206,0,0,0,0,0,0,1,1,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,2,18.48428571,132.6859339,9.20407358754034,18.60890267751796,1.0
BRAF,2.0,0.0,0.0,0.0,6.0,1.0,0.0,0,0.0,0.0,2.0,0.0,7.0,8.0,2301.0,0.0,0.111111111,0.0,0.666666667,0.0,1.0,0.222222222,0.0,0.833333333,0.351618793,0.755555556,0.0,6.0,9.0,1.0,0.0,0.0,2.4e-09,18.21935147,616.0,0.02459647,4.78e-05,42.0,0.4553333,0.6018227,4.94625,0.5038674,-4.677143,0.24016958,0.361775862,0.04376601,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,26.975,23.81357143,5.321109927355431,9.494881558762582,1.0
NTRK2,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0,0.0,0.0,0.0,0.0,9.0,9.0,2517.0,0.0,0.222222222,0.0,0.777777778,0.0,1.0,0.0,0.0,0.929896694,0.601678177,0.667666667,0.0,7.0,9.0,0.50530571,1.0,0.103680664,0.33866663,14.08875677,692.0,0.001115233,4.82e-05,24.0,-4.9071427,2.0304354,1.9314285,0.10079514,-11.7457144,3.2072738,0.498891832,0.071371134,0,0,0,0,0,1,3,0,3,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,1,0,1,1,2,0,0,1,20.16788889,111.4316114,7.626194783654863,16.752639703310916,1.0
RET,4.0,0.0,1.0,0.0,7.0,0.0,0.0,0,0.0,0.0,5.0,0.0,7.0,11.0,3345.0,0.0,0.0,0.0,0.583333333,0.0,1.0,0.333333333,0.083333333,0.814038036,0.854981225,0.740416667,0.0,7.0,12.0,0.708717222,1.0,0.176366843,0.48239667,18.79254916,563.0,-0.01916108,0.000140308,30.0,-0.28615384,1.5190158,5.3714287,0.9616454,-6.886667,1.4331671,0.099435306,0.003487807,0,0,0,0,0,0,1,0,0,1,3,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,18.99575,38.85577493,7.181409002994416,15.6301726918443,1.0
NTRK3,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0,1.0,0.0,2.0,0.0,7.0,8.0,2520.0,0.0,0.0,0.111111111,0.666666667,0.0,1.0,0.222222222,0.0,0.833333333,0.552655592,0.746333333,0.0,6.0,9.0,0.733675715,0.967819791,0.804505229,0.973454782,16.92600289,730.0,-0.05718258,1.33e-05,11.0,-0.55473684,0.37490749,1.9392857,0.11772115,-7.538,0.4772102,0.294896759,0.045165622,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,3,0,0,0,20.48872727,108.8843592,4.896022693428301,11.5961380387816,1.0
SMARCB1,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.0,3.0,1158.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.294984578,0.714,0.0,3.0,3.0,0.00277,1.0,0.425170068,0.788803584,19.28173809,196.0,0.05239067,0.000671394,114.0,1.7185714,0.68910243,4.576,0.56575425,-5.4250002,0.4427405,0.028659671,8.86e-06,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0,0,0,1,21.89714286,56.03082381,7.324821750365349,12.89241908783421,0.0
CHD5,4.0,0.0,0.0,0.0,15.0,0.0,0.0,0,0.0,0.0,4.0,0.0,15.0,17.0,5865.0,0.0,0.0,0.0,0.789473684,0.0,1.0,0.210526316,0.0,0.900880458,0.661153938,0.553263158,0.0,15.0,19.0,0.113430127,1.0,0.574382539,0.892854486,19.24392194,240.0,0.03039633,5.12e-07,16.0,-2.7385294,0.89692,1.9155556,0.06720132,-7.974375,1.3447195,0.283843918,0.052384224,0,0,0,0,0,3,0,0,2,0,3,0,0,0,0,0,0,2,0,2,2,2,0,1,1,0,0,2,0,0,0,1,19.54542857,59.00570566,2.5014290067098446,8.430519291348682,0.0
