Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Silent	Splice_Site	Translation_Start_Site	DEL	INS	SNP	pnum	gene length	silent	nonsense	splice site	missense	recurrent missense	normalized missense position entropy	frameshift indel	inframe indel	normalized mutation entropy	Mean Missense MGAEntropy	Mean VEST Score	lost start and stop	missense to silent	non-silent to silent	inactivating p-value	entropy p-value	vest p-value	combined p-value	expression_CCLE	replication_time	HiC_compartment	gene_betweeness	gene_degree	all_mean	all_var	up_mean	up_var	down_mean	down_var	dnam_mean	dnam_var	AAA_ref	AAC_ref	AAG_ref	AAT_ref	ACA_ref	ACC_ref	ACG_ref	ACT_ref	AGA_ref	AGC_ref	AGG_ref	ATA_ref	ATC_ref	ATG_ref	CAA_ref	CAC_ref	CAG_ref	CCA_ref	CCC_ref	CCG_ref	CGA_ref	CGC_ref	CTA_ref	CTC_ref	GAA_ref	GAC_ref	GCA_ref	GCC_ref	GGA_ref	GTA_ref	TAA_ref	TCA_ref	CADD_mean	CADD_var	exp_mean	exp_var	class
NRAS	2.0	2.0	0.0	0.0	287.0	5.0	0.0	0	5.0	1.0	2.0	2.0	298.0	294.0	570.0	0.005235602	0.010471204	0.0	0.984293194	0.937172775	0.179240585	0.0	0.0	0.193185285	0.263128327	0.886465969	0.0	94.0	95.0	1.0	0.0	0.0	2.4e-09	19.19616553	472.0	0.01059793	3.59e-05	18.0	3.6930118	4.572427	8.59919	4.352712	-9.636981	2.75445	0.02327773	1.490944691	1.0	0.2	3.6	1.0	28.4	8.0	1.6	1.2	2.6	1.4	5.6	0.4	0.8	0.4	57.8	0.4	0.2	4.0	0.4	0.2	2.4	1.6	0.0	0.4	0.4	1.2	0.0	0.8	1.2	0.0	0.0	2.6	24.82	2.187	7.352706889850888	14.55857347004318	1
NTRK1	3.0	0.0	1.0	0.0	179.0	6.0	0.0	0	10.0	0.0	4.0	0.0	195.0	177.0	2391.0	0.254716981	0.028301887	0.028301887	0.669811321	0.028301887	0.989110081	0.018867925	0.0	0.948461902	0.873431075	0.397254717	0.0	2.535714286	2.821428571	0.414593698	0.817744522	0.534473544	0.798810243	20.52208149	208.0	0.04542559	0.055172583	1945.0	7.689098	3.338421	10.83255	3.587389	-3.3495348	0.9121325	0.154175854	65.40058209	2.0	9.6	3.6	2.8	4.8	14.2	31.8	4.0	33.8	24.0	41.8	0.8	2.4	3.2	3.8	6.4	11.8	35.2	31.2	49.8	51.6	51.0	2.6	3.6	1.6	3.6	10.2	31.0	31.6	5.2	0.8	25.2	19.526	140.3546153	4.267684971525024	12.89626962511662	1
RAD54L	3.0	2.0	2.0	0.0	97.0	6.0	1.0	0	5.0	0.0	5.0	2.0	109.0	104.0	2244.0	0.290322581	0.0	0.032258065	0.580645161	0.0	1.0	0.064516129	0.0	0.92186487	0.581378208	0.473967742	0.032258065	1.8	2.2	0.55157198	1.0	0.53561864	0.870022959	19.39722255	205.0	0.03108991	3.05e-07	2.0	1.3842609	1.7809644	4.64649	2.0341733	-4.8511393	0.7170493	0.00928446	0.23734977	2.0	0.0	1.4	1.2	1.0	1.0	1.4	1.2	9.2	4.2	6.0	0.0	0.0	3.0	1.2	1.8	1.0	2.6	3.2	4.0	8.6	8.2	0.6	1.0	0.2	2.2	2.4	2.0	5.2	0.6	0.0	9.0	16.60603002	34.86341111	5.407672610447988	11.028212047743754	1
ATM	69.0	20.0	8.0	0.0	534.0	107.0	1.0	0	36.0	0.0	80.0	20.0	675.0	566.0	9171.0	0.086805556	0.121527778	0.055555556	0.645833333	0.069444444	0.971475098	0.079861111	0.010416667	0.772299941	0.612587448	0.688010417	0.0	7.153846154	10.11538462	0.0	0.00059	0.0	1.18e-07	18.66565965	582.0	0.01619721	0.001447922	135.0	-2.3749188	2.0080172	3.0070731	0.68944143	-9.0819605	2.8427267	0.009030641	0.224346024	15.4	4.0	15.8	12.0	10.4	12.4	24.0	10.6	84.0	9.2	26.6	9.6	5.8	6.2	5.6	5.2	7.0	20.4	6.2	8.0	47.8	10.2	6.4	5.4	7.8	4.0	9.4	6.4	17.6	13.4	5.0	46.0	29.43275	31.50830361	6.956025322681556	12.949313938882778	1
CHEK1	6.0	1.0	0.0	0.0	65.0	9.0	0.0	0	2.0	1.0	6.0	1.0	77.0	80.0	1431.0	0.083333333	0.041666667	0.0	0.791666667	0.0	1.0	0.041666667	0.0	0.924589504	0.743200799	0.534166667	0.041666667	6.333333333	7.333333333	0.698324022	1.0	0.260281104	0.610617664	18.86606937	595.0	0.01786709	0.000543278	74.0	-2.042561	1.98944	3.1453762	0.5058964	-8.8380285	3.1416994	0.011315253	0.35234209	4.25	0.5	1.0	2.0	0.0	2.75	1.5	1.0	4.25	0.0	4.5	1.5	1.5	1.5	0.0	0.5	1.0	3.5	2.5	1.5	11.0	2.5	1.0	0.5	1.5	0.5	1.0	0.5	5.25	0.5	1.0	5.0	16.60603002	34.86341111	5.609882562564299	10.751441747855216	1
ALK	11.0	3.0	2.0	0.0	340.0	24.0	0.0	0	9.0	0.0	13.0	3.0	373.0	324.0	4863.0	0.233128834	0.036809816	0.012269939	0.693251534	0.141104294	0.894802935	0.012269939	0.012269939	0.891227304	0.582521797	0.521141104	0.0	2.897435897	3.205128205	0.714796283	0.0	0.00025	5.2e-08	17.62541206	882.0	0.01878041	0.000155371	62.0	2.2365691	1.32537205	5.357647	1.1806043	-5.073689	0.9052727	0.02481353	1.69691897	2.25	4.5	3.0	1.5	5.0	9.75	17.0	2.25	35.25	17.0	32.75	2.75	2.25	1.25	2.5	3.0	9.25	24.25	26.5	36.5	29.0	22.0	1.5	2.75	1.25	4.5	16.75	19.0	43.75	1.5	3.0	19.25	11.7670625	162.144688	3.869273078938447	13.03412255703117	1
BARD1	19.0	3.0	1.0	0.0	111.0	12.0	0.0	0	2.0	0.0	20.0	3.0	125.0	134.0	2334.0	0.2	0.08	0.0	0.66	0.0	1.0	0.04	0.02	0.945038376	1.166613055	0.36066	0.0	3.0	3.636363636	0.476190476	1.0	0.668449198	0.937697112	18.24596904	948.0	0.01111842	0.001704276	256.0	0.31109157	1.3714697	4.1396197	0.65780235	-6.7334	1.9308405	0.03329995	3.045352443	4.2	1.6	2.0	1.0	1.8	1.8	3.4	5.0	14.8	7.4	4.8	1.6	0.8	3.2	0.8	1.6	5.0	6.0	1.6	2.6	3.6	1.2	0.0	0.8	1.2	2.4	2.0	5.6	4.2	3.4	1.0	15.8	16.60603002	34.86341111	4.543015791627412	9.054554461452836	1
FANCL	2.0	0.0	0.0	0.0	59.0	2.0	0.0	0	10.0	0.0	3.0	0.0	70.0	69.0	1143.0	0.294117647	0.0	0.0	0.705882353	0.0	1.0	0.0	0.0	1.0	0.582512637	0.372411765	0.0	2.0	2.0	1.0	1.0	0.285062714	0.642829554	17.59455424	617.0	0.009232438	2.29e-05	31.0	2.4822222	0.968351	4.99	1.1200227	-2.8832559	0.23028909	0.011962551	0.393779164	2.4	0.4	0.6	1.6	1.4	0.4	1.6	1.4	6.0	1.6	4.0	2.0	0.4	0.0	1.2	1.8	1.2	2.6	2.2	0.6	6.6	2.0	0.0	0.8	1.4	1.0	2.0	0.4	3.0	1.2	1.6	3.6	27.4	12.5	5.956749953478425	10.933309064440476	1
IDH1	4.0	3.0	0.0	0.0	544.0	4.0	0.0	0	2.0	0.0	4.0	3.0	550.0	554.0	1245.0	0.026819923	0.011494253	0.0	0.957854406	0.885057471	0.089227645	0.0	0.0	0.130545313	0.416682571	0.815333333	0.003831418	31.25	31.75	0.881057269	0.0	0.0	2.4e-09	17.99018764	539.0	0.0167467	0.000129593	50.0	1.3679118	0.34848286	2.8196266	0.23043985	-3.530197	0.43699634	0.01904092	0.997614743	1.5	1.0	1.5	3.0	1.25	0.5	205.0	0.0	4.75	0.75	2.0	1.0	1.5	0.5	1.75	0.5	0.0	1.5	1.5	1.0	44.5	1.0	0.0	1.0	0.0	0.0	1.25	0.5	3.25	1.0	0.25	5.75	26.725	8.2025	8.17030396065059	16.264523056766375	1
BRCA1	18.0	7.0	2.0	0.0	232.0	37.0	0.0	0	8.0	1.0	20.0	8.0	277.0	270.0	5655.0	0.183206107	0.099236641	0.022900763	0.58778626	0.0	1.0	0.099236641	0.007633588	0.836243777	1.123127617	0.545870229	0.0	3.08	4.28	0.00735	1.0	0.543478261	0.874872593	20.48367901	201.0	0.02652095	0.011628643	560.0	-0.6558086	2.0760827	4.809346	0.9732972	-9.0479076	2.612885	0.088999768	21.79219206	4.0	4.8	4.2	8.2	7.6	2.4	5.4	5.6	38.4	7.2	15.4	0.0	0.6	1.8	0.6	3.0	5.2	8.2	9.2	4.2	7.6	5.8	3.0	3.6	4.4	0.8	5.6	6.0	10.4	2.6	2.4	29.2	16.025	55.0854	5.947599788690835	11.538092635338474	1
