geneid,score
enhancers::chr13:41906200-41907800::NA::NA,0.80774355
enhancers::chr13:42061400-42063200::NA::NA,0.8015602
enhancers::chr13:42064600-42068800::NA::NA,0.8015602
enhancers::chr13:49620600-49621600::NA::NA,0.80572975
enhancers::chr13:49692400-49693000::NA::NA,0.80572975
enhancers::chr13:49823800-49826600::NA::NA,0.80320126
enhancers::chr13:50432400-50434200::NA::NA,0.8042826
enhancers::chr13:52461200-52462000::NA::NA,0.79779816
enhancers::chr14:23074600-23076600::NA::NA,0.7955452
enhancers::chr16:58328800-58329600::NA::NA,0.8054088
enhancers::chr17:73801600-73803000::NA::NA,0.7957208
enhancers::chr17:73804200-73807000::NA::NA,0.7957208
enhancers::chr17:73807600-73810000::NA::NA,0.7957208
enhancers::chr17:73810600-73811600::NA::NA,0.7957208
enhancers::chr17:73815600-73816600::NA::NA,0.7957208
enhancers::chr17:73817400-73822600::NA::NA,0.7957208
enhancers::chr17:73918600-73920000::NA::NA,0.805988
enhancers::chr17:73946800-73947600::NA::NA,0.8055883
enhancers::chr17:73959600-73960600::NA::NA,0.8055883
enhancers::chr17:73993800-74000800::NA::NA,0.8055883
enhancers::chr17:74017400-74018600::NA::NA,0.7961197
enhancers::chr17:74042000-74042600::NA::NA,0.8008332
enhancers::chr17:74044000-74044600::NA::NA,0.802793
enhancers::chr17:74046000-74048200::NA::NA,0.802793
enhancers::chr17:74059200-74060200::NA::NA,0.802793
enhancers::chr17:74085200-74086800::NA::NA,0.802793
enhancers::chr17:74087000-74088400::NA::NA,0.802793
enhancers::chr18:48660400-48664400::NA::NA,0.80220884
enhancers::chr18:48685800-48688400::NA::NA,0.80220884
enhancers::chr18:55324600-55325200::NA::NA,0.80553746
enhancers::chr18:55344200-55345000::NA::NA,0.7982968
enhancers::chr18:55349800-55352000::NA::NA,0.80553746
enhancers::chr18:55358600-55359200::NA::NA,0.80553746
enhancers::chr18:55360400-55361000::NA::NA,0.80553746
enhancers::chr18:55363800-55365800::NA::NA,0.80553746
enhancers::chr18:55372000-55373000::NA::NA,0.80553746
enhancers::chr18:56320800-56321600::NA::NA,0.80789346
enhancers::chr18:56352800-56366600::NA::NA,0.80789346
enhancers::chr18:56380600-56384000::NA::NA,0.80789346
enhancers::chr18:56467800-56468800::NA::NA,0.8032188
enhancers::chr18:56486200-56487200::NA::NA,0.80159956
enhancers::chr18:56490600-56492200::NA::NA,0.80159956
enhancers::chr1:26223400-26229000::NA::NA,0.8063728
enhancers::chr1:26777000-26777800::NA::NA,0.8068655
enhancers::chr1:26833000-26834000::NA::NA,0.8025392
enhancers::chr1:27054400-27055800::NA::NA,0.80779153
enhancers::chr1:27056800-27058200::NA::NA,0.8060139
enhancers::chr1:27105000-27106400::NA::NA,0.8061005
enhancers::chr1:27136800-27138200::NA::NA,0.8061005
enhancers::chr1:27165200-27166400::NA::NA,0.8061005
enhancers::chr1:27174200-27178000::NA::NA,0.8061005
enhancers::chr1:27179200-27187400::NA::NA,0.8061005
enhancers::chr1:27220400-27221600::NA::NA,0.80476105
enhancers::chr1:27258600-27260000::NA::NA,0.80476105
enhancers::chr1:27610400-27612400::NA::NA,0.80739933
enhancers::chr1:27616800-27618600::NA::NA,0.80739933
