Hugo_Symbol,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,Silent,Splice_Site,Translation_Start_Site,DEL,INS,SNP,pnum,gene length,silent,nonsense,splice site,missense,recurrent missense,normalized missense position entropy,frameshift indel,inframe indel,normalized mutation entropy,Mean Missense MGAEntropy,Mean VEST Score,lost start and stop,missense to silent,non-silent to silent,inactivating p-value,entropy p-value,vest p-value,combined p-value,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,all_mean,all_var,up_mean,up_var,down_mean,down_var,dnam_mean,dnam_var,AAA_ref,AAC_ref,AAG_ref,AAT_ref,ACA_ref,ACC_ref,ACG_ref,ACT_ref,AGA_ref,AGC_ref,AGG_ref,ATA_ref,ATC_ref,ATG_ref,CAA_ref,CAC_ref,CAG_ref,CCA_ref,CCC_ref,CCG_ref,CGA_ref,CGC_ref,CTA_ref,CTC_ref,GAA_ref,GAC_ref,GCA_ref,GCC_ref,GGA_ref,GTA_ref,TAA_ref,TCA_ref,cadd_mean,cadd_var,exp_mean,exp_var,class
DDR2,1.0,0.0,0.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,16.0,2568.0,0.0,0.052631579,0.0,0.894736842,0.0,1.0,0.052631579,0.0,0.950440229,0.565164976,0.681052632,0.0,17.0,19.0,0.814995925,1.0,0.375234522,0.743040922,18.30108397,293.0,0.009016348,2.93e-06,8.0,15.97439,4.3129496,18.834445,4.1259784,-4.618,0.9904122,1.603743307,0.008960634,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,22.663666666666668,47.06992057471265,5.0463752904445816,9.90326535552831,1.0
MCL1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1053.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.5,1.0,0.734687691,0.5525,0.0,1.0,2.0,1.0,1.0,0.104777871,0.341147599,20.49291817,152.0,0.03127347,0.00029983,59.0,14.0625,2.5861336,14.0625,2.5861336,-8.287615,1.5927704,0.104768365,0.001755365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,13.447666666666668,24.045879066666664,9.410208735713118,17.187373413061454,1.0
NTRK1,0.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,16.0,14.0,2391.0,0.0,0.0625,0.125,0.8125,0.0,1.0,0.0,0.0,0.925704883,0.545730472,0.6798125,0.0,13.0,16.0,0.414593698,0.817744522,0.534473544,0.798810243,20.52208149,208.0,0.04542559,0.055172583,1945.0,12.597743,3.68287,15.703462,3.7022803,-3.552,0.5951417,1.41204946,0.022563278,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,2.0,2.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,20.84879310344828,80.00063531280787,2.420577767168566,5.075615350379321,1.0
CCNE1,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,5.0,1233.0,0.0,0.0,0.166666667,0.833333333,0.0,1.0,0.0,0.0,0.871049064,1.044408793,0.5735,0.0,5.0,6.0,0.651465798,1.0,0.152068127,0.43847729,17.35404444,609.0,-0.03267048,0.000208404,70.0,0.08700009,0.787469,4.641667,0.4270142,-6.745,0.61346707,0.476521621,0.027385576,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.369625,109.69634969642856,5.169569138355766,11.397609443125823,1.0
STK11,15.0,5.0,0.0,0.0,27.0,23.0,0.0,0.0,11.0,0.0,15.0,7.0,59.0,74.0,1302.0,0.0,0.265822785,0.139240506,0.341772152,0.151898734,0.851851852,0.253164557,0.0,0.35453159,0.379372967,0.943594937,0.0,27.0,79.0,0.0,1.0,0.801282051,0.978799896,21.07860234,234.0,0.02882151,0.000235891,41.0,-8.872701,2.6093557,1.9505633,0.22670666,-16.333398,2.8926043,0.985916311,0.007794993,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0,1.0,8.0,1.0,1.0,2.0,8.0,0.0,5.0,6.0,6.0,1.0,10.0,1.0,0.0,0.0,4.0,1.0,2.0,0.0,6.0,0.0,0.0,0.0,32.356309859154926,79.47317638832995,6.745515497610403,11.806305542859082,1.0
ALK,1.0,0.0,0.0,0.0,29.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,35.0,30.0,4863.0,0.0,0.138888889,0.027777778,0.805555556,0.0,1.0,0.027777778,0.0,0.894413445,0.542687694,0.670361111,0.0,29.0,36.0,0.714796283,0.0,0.00025,5.2e-08,17.62541206,882.0,0.01878041,0.000155371,62.0,3.6105,1.545601,6.412631,1.7581357,-3.333913,0.36725227,0.169472644,0.025378565,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,8.0,6.0,5.0,0.0,0.0,1.0,0.0,0.0,4.0,5.0,7.0,6.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,19.94001694915254,127.16530391350088,2.714814884690504,7.9678256318810465,1.0
ERBB2,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,5.0,9.0,3768.0,0.0,0.0,0.111111111,0.444444444,0.0,1.0,0.0,0.444444444,0.719586776,0.816385609,0.721333333,0.0,4.0,9.0,0.992063492,0.0,0.0,2.4e-09,20.29332795,226.0,0.03763767,0.000661984,122.0,7.612353,2.3772711,11.956363,3.2148775,-0.35166666,0.001255767,0.940549076,0.043896866,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,16.198785714285716,83.91267202747255,8.905685337889922,19.04508967381437,1.0
ROS1,2.0,0.0,0.0,0.0,18.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,21.0,23.0,7044.0,0.0,0.043478261,0.086956522,0.782608696,0.0,1.0,0.086956522,0.0,0.888413825,0.767424411,0.621,0.0,18.0,23.0,0.2356823,1.0,0.564015792,0.887012424,17.36394394,310.0,-0.01750335,6.16e-07,6.0,-3.1704254,1.0554689,1.931,0.12513079,-12.172941,1.4586071,0.562974476,0.017169123,0.0,0.0,0.0,1.0,2.0,4.0,0.0,2.0,7.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,22.05403333333333,55.07507286091954,7.362730544647779,15.056512579128624,1.0
KRAS,0.0,0.0,0.0,0.0,160.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,157.0,570.0,0.0,0.00621118,0.0,0.99378882,0.944099379,0.101678792,0.0,0.0,0.100295824,0.257157871,0.917726708,0.0,160.0,161.0,1.0,0.0,0.0,2.4e-09,17.98367001,512.0,0.0163318,0.000268849,37.0,7.84578,7.6915175,13.227977,9.031405,-6.583085,1.2687159,0.346080888,0.005090106,0.0,0.0,1.0,0.0,0.0,77.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,28.067241379310342,5.140018935618891,7.406156688763761,14.854206864074952,1.0
BRAF,0.0,0.0,1.0,0.0,42.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,45.0,42.0,2301.0,0.0,0.043478261,0.02173913,0.913043478,0.630434783,0.657586592,0.0,0.02173913,0.660333537,0.336914988,0.835304348,0.0,42.0,46.0,1.0,0.0,0.0,2.4e-09,18.21935147,616.0,0.02459647,4.78e-05,42.0,8.2520425,3.813591,10.431266,4.1245654,-4.045,0.3240095,0.476168853,0.015696255,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,3.0,0.0,5.0,0.0,0.0,10.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,5.0,28.08860784313725,33.56104964313727,5.180995400364036,8.889751394141436,1.0
