geneid,freq_Intron,freq_IGR,freq_RNA,freq_Missense_Mutation,freq_3UTR,freq_lincRNA,freq_5Flank,freq_Silent,freq_5UTR,freq_Splice_Site,freq_Nonsense_Mutation,freq_De_novo_Start_OutOfFrame,freq_Frame_Shift_Del,freq_In_Frame_Del,freq_Frame_Shift_Ins,freq_De_novo_Start_InFrame,freq_Start_Codon_SNP,freq_In_Frame_Ins,freq_Nonstop_Mutation,freq_Start_Codon_Del,freq_Stop_Codon_Del,freq_Stop_Codon_Ins,freq_Start_Codon_Ins,freq_SNP,freq_DNP,freq_TNP,freq_DEL,freq_INS,freq_ONP,sample_count_mean,sample_count_var,gc_mean,gc_var,amp_mean,amp_var,amp_freq,del_mean,del_var,del_freq,abs_mean,abs_var,abs_freq,exp_mean,exp_var,rep_time,exp_CCLE,AAA_ref,AAC_ref,AAG_ref,AAT_ref,ACA_ref,ACC_ref,ACG_ref,ACT_ref,AGA_ref,AGC_ref,AGG_ref,ATA_ref,ATC_ref,ATG_ref,CAA_ref,CAC_ref,CAG_ref,CCA_ref,CCC_ref,CCG_ref,CGA_ref,CGC_ref,CTA_ref,CTC_ref,GAA_ref,GAC_ref,GCA_ref,GCC_ref,GGA_ref,GTA_ref,TAA_ref,TCA_ref,CADD_mean,CADD_var,CSS_mean,CSS_var,label
gc19_pc.3utr::gencode::CCND1::ENSG00000110092.3,9.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,3.0,2.0,0.0,1.15,0.2394736842105262,0.5233043478260869,0.0159429486166007,3.016233772727273,4.8270766288798646,153.0,-0.8333334545454547,0.0611110222222727,11.0,2.870707084848485,4.80533569173855,164.0,5.46816430889757,1.4950116581479505,431.0,21.632444137477133,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,9.934555555555557,70.93709296732025,0.3888118333333333,0.0235627629807352,1.0
gc19_pc.3utr::gencode::CXCL12::ENSG00000107562.12,285.0,18.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.0,4.0,0.0,9.0,6.0,0.0,1.2243346007604563,0.5410849563173018,0.4688447204968946,0.0083315334455602,1.0820513846153836,0.6293476174539272,39.0,-0.8585859696969698,0.0401409353956553,33.0,0.9796297361111104,0.3674977400974082,71.0,3.4041646662381315,2.9675084524963493,855.0,12.09341756438796,10.0,10.0,18.0,5.0,14.0,15.0,9.0,4.0,27.0,12.0,5.0,6.0,5.0,1.0,5.0,15.0,6.0,13.0,16.0,5.0,9.0,12.0,5.0,5.0,8.0,1.0,13.0,11.0,12.0,7.0,6.0,13.0,3.3125132450331107,11.06291504799674,0.4283533013245033,0.0375527043525035,1.0
gc19_pc.3utr::gencode::TYMS::ENSG00000176890.11,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.348,0.0012249999999999,1.3958333999999994,1.3713496267806566,40.0,-0.8974359230769231,0.0580483831909102,13.0,1.2735849622641506,1.0887759338413452,53.0,3.113012413986492,0.9822771860650276,486.0,20.999951844054063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.493666666666667,21.259940333333333,0.3813176666666666,0.0425139422573333,1.0
gc19_pc.5utr::gencode::TYMS::ENSG00000176890.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3958333999999994,1.3713496267806566,40.0,-0.8974359230769231,0.0580483831909102,13.0,1.2735849622641506,1.0887759338413452,53.0,3.113012413986492,0.9822771860650276,486.0,20.999951844054063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
gc19_pc.promCore::gencode::BRCA1::ENSG00000012048.15,63.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,1.0,0.0,5.0,0.0,0.0,1.1016949152542372,0.1963763880771478,0.4456769230769228,0.0084438783653846,1.099275413043478,0.4244685245410923,46.0,-0.8503145471698114,0.050325710482214,53.0,0.9659933333333334,0.2371876893882447,99.0,1.2889762858775948,0.4262186781224359,201.0,19.99157166815011,2.0,1.0,3.0,2.0,3.0,1.0,2.0,3.0,2.0,4.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,3.0,9.0,4.26935593220339,16.585482440093518,0.4479287966101694,0.0424557934119234,1.0
gc19_pc.promCore::gencode::BRCA2::ENSG00000139618.10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4469698181818178,1.2503522085976404,44.0,-0.8795699838709675,0.0573899272460489,62.0,1.1150944433962269,0.6242990092283438,106.0,0.7794978955980786,0.4130022769506986,464.0,17.064079609123368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
gc19_pc.promCore::gencode::GSTP1::ENSG00000084207.11,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.74875,7.158333333333383e-05,1.6111111733333332,2.160159998999037,75.0,-0.8333334666666666,0.0515872222222666,15.0,1.4814815555555558,1.889166157858272,90.0,6.549780991934485,4.216017872406639,215.0,21.76878887016177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6,8.736199999999998,0.3462754999999999,0.0033011875124999,1.0
gc19_pc.promCore::gencode::MGMT::ENSG00000170430.9,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.73475,0.0014395833333333,1.075757681818181,0.8029127502936638,44.0,-0.8535354393939389,0.0491582097384347,66.0,0.9424243363636368,0.3580205122602435,110.0,3.690199560357384,1.0599682056342965,1096.0,14.425347051432825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7685,5.351753666666666,0.666704,0.0403688617499999,1.0
gc19_pc.promCore::gencode::MLH1::ENSG00000076242.10,53.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,3.0,1.0,0.0,1.0545454545454545,0.0525252525252525,0.4334827586206896,0.0053882540834845,1.1513514054054053,0.6222588593927477,37.0,-0.8162394615384617,0.0406357211726235,39.0,0.9793860657894732,0.347702653259289,76.0,3.221622917705347,0.1512627637628543,473.0,20.337869033982106,4.0,2.0,1.0,0.0,1.0,2.0,0.0,2.0,5.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,4.0,1.0,2.0,2.0,1.0,5.0,5.532814814814815,47.17478690845565,0.3761255,0.046514042280632,1.0
gc19_pc.promCore::gencode::TERT::ENSG00000164362.14,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7766249999999998,9.375000000000052e-06,1.3322493658536585,0.8095615876968079,122.0,-0.8208334375,0.0536110472222625,16.0,1.2733813453237406,0.7483603097232712,138.0,0.2413261944180058,0.2951739396485146,424.0,17.0662258665535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.857666666666667,7.419636333333335,0.4780546666666667,0.0229302171023333,1.0
lncrna.ncrna::gencode::AP001065.2::ENSG00000230061.1,31.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,1.0,2.0,0.0,1.032258064516129,0.032258064516129,0.5785937499999999,0.0047330231854838,1.1299145641025636,0.7523854687659891,39.0,-0.8857143571428573,0.0563613484737857,14.0,1.0654088490566032,0.575724719093746,53.0,0.4632960872423977,0.4436919455922196,308.0,18.430395378514525,0.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,6.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.3529310344827583,1.7705479236453203,0.5015081034482759,0.0362734332839532,1.0
lncrna.ncrna::gencode::CDKN2B-AS1::ENSG00000240498.2,7.0,11.0,197.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,1.0,0.0,10.0,13.0,0.0,1.255813953488372,0.6710186318509451,0.3859953703703703,0.0044502371877691,1.4642857857142857,1.5734123363858734,14.0,-0.8968991906976748,0.1420983233331177,211.0,0.9315865807860264,0.2416440833291042,224.0,0.4449754074883176,0.1693926183266514,177.0,16.07171373965165,5.0,7.0,5.0,7.0,9.0,7.0,4.0,4.0,20.0,10.0,5.0,9.0,2.0,7.0,4.0,0.0,3.0,8.0,9.0,2.0,5.0,3.0,5.0,4.0,4.0,2.0,5.0,1.0,12.0,4.0,6.0,14.0,4.039322751322748,17.245080815490258,0.5242851322751323,0.0369272018671366,1.0
lncrna.ncrna::gencode::EGOT::ENSG00000235947.1,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,1.125,0.125,0.4317777777777778,0.0011496944444444,1.1231638983050845,0.8806226232872651,59.0,-0.8597485094339621,0.0472374930576008,53.0,0.998511973214286,0.4997273934559904,112.0,1.0578615562934894,1.2763184401261445,306.0,17.747052187399223,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.255625,59.18017083928573,0.64513275,0.0386160315450714,1.0
lncrna.ncrna::gencode::FER1L4::ENSG00000088340.11,0.0,62.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,1.0,0.0,3.0,5.0,0.0,1.1206896551724137,0.4026986506746625,0.498923076923077,0.0089317459749552,1.445977068965517,1.472780594474732,55.0,-0.875000125,0.0297618452381249,8.0,1.3767677424242424,1.3299816727376703,63.0,1.1972208780060478,1.0788549294495071,167.0,20.82879272817862,5.0,4.0,1.0,4.0,5.0,5.0,8.0,6.0,4.0,4.0,6.0,1.0,0.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,8.0,9.0,2.0,3.0,0.0,1.0,3.0,4.0,8.0,1.0,1.0,6.0,4.438471074380165,24.88021461790633,0.5586048099173555,0.0407536935782218,1.0
lncrna.ncrna::gencode::FOXD2-AS1::ENSG00000237424.1,0.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5673,0.0022142333333333,1.26797394117647,1.160087032854057,51.0,-0.8088236470588237,0.0406268223410837,34.0,1.084313823529412,0.7576874312947658,85.0,1.105678454698514,0.5222233314935781,210.0,20.239272200430104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,7.776111111111112,9.504769361111112,0.4900826666666666,0.0326937621015,1.0
lncrna.ncrna::gencode::GAS5::ENSG00000234741.3,1.0,0.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,6.0,0.0,0.0,1.0476190476190477,0.0476190476190476,0.4705,0.0118732142857142,1.206267888888889,0.4646154737433578,117.0,-0.7870371666666667,0.0418481877269705,18.0,1.1503704592592592,0.4279744982200411,135.0,0.0,0.0,385.0,20.89548727080208,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,8.575875,27.520777183333333,0.4906875625,0.0457249527294624,1.0
