Hugo_Symbol,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,Silent,Splice_Site,Translation_Start_Site,DEL,INS,SNP,pnum,gene length,silent,nonsense,splice site,missense,recurrent missense,normalized missense position entropy,frameshift indel,inframe indel,normalized mutation entropy,Mean Missense MGAEntropy,Mean VEST Score,lost start and stop,missense to silent,non-silent to silent,inactivating p-value,entropy p-value,vest p-value,combined p-value,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,all_mean,all_var,up_mean,up_var,down_mean,down_var,dnam_mean,dnam_var,AAA_ref,AAC_ref,AAG_ref,AAT_ref,ACA_ref,ACC_ref,ACG_ref,ACT_ref,AGA_ref,AGC_ref,AGG_ref,ATA_ref,ATC_ref,ATG_ref,CAA_ref,CAC_ref,CAG_ref,CCA_ref,CCC_ref,CCG_ref,CGA_ref,CGC_ref,CTA_ref,CTC_ref,GAA_ref,GAC_ref,GCA_ref,GCC_ref,GGA_ref,GTA_ref,TAA_ref,TCA_ref,cadd_mean,cadd_var,exp_mean,exp_var,class
NTRK1,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,2391.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.554412774,0.733666667,0.0,6.0,6.0,0.414593698,0.817744522,0.534473544,0.798810243,20.52208149,208.0,0.04542559,0.055172583,1945.0,24.476667,10.595749,26.75182,10.9720506,-0.55,5.5946514,1.650471815,0.011249158,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.4484,99.80594893333333,1.845978406310884,5.512571074593296,1.0
BRCA1,6.0,2.0,0.0,0.0,1.0,7.0,0.0,0.0,1.0,1.0,6.0,3.0,9.0,18.0,5655.0,0.0,0.352941176,0.058823529,0.058823529,0.0,1.0,0.470588235,0.0,0.147333452,0.901156062,1.050588235,0.058823529,1.0,17.0,0.00735,1.0,0.543478261,0.874872593,20.48367901,201.0,0.02652095,0.011628643,560.0,-16.161667,7.160372,4.413333,0.4956158,-30.858096,6.740899,2.755398792,0.154370289,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,33.766666666666666,35.690000000000005,5.444418837608818,10.364101435775936,1.0
BRAF,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2301.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.265815597,0.733,0.0,2.0,2.0,1.0,0.0,0.0,2.4e-09,18.21935147,616.0,0.02459647,4.78e-05,42.0,3.3366665,0.32741032,5.085,0.4714205,-0.16,5.5946514,0.327106622,0.00165586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.45,0.6050000000000015,5.065578278698007,8.273109966474136,1.0
NTRK2,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2517.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.709511977,0.56,0.0,4.0,4.0,0.50530571,1.0,0.103680664,0.33866663,14.08875677,692.0,0.001115233,4.82e-05,24.0,-15.2625,25.576052,12.813333,4.6497602,-32.108,32.97418,0.154614534,0.00542444,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.360000000000003,50.38176666666666,4.95912658906774,11.37839428498343,1.0
RET,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,3345.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.939794001,0.9244983,0.3019,0.0,10.0,10.0,0.708717222,1.0,0.176366843,0.48239667,18.79254916,563.0,-0.01916108,0.000140308,30.0,0.000500057,2.4983192,11.805,0.49183345,-7.869167,2.3132484,0.091833102,0.001222126,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,16.779583333333335,95.3323751742424,5.46046521520444,14.409848842070712,1.0
NTRK3,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,4.0,2520.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.385015834,0.697,0.0,3.0,3.0,0.733675715,0.967819791,0.804505229,0.973454782,16.92600289,730.0,-0.05718258,1.33e-05,11.0,2.4075,0.52044764,4.5966666,0.45125466,-4.16,0.23667198,0.132115787,0.01619577,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.7854,91.47196580000002,4.008086099506716,10.04784422049375,1.0
BRCA2,4.0,2.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,4.0,2.0,10.0,15.0,10257.0,0.0,0.1875,0.0,0.4375,0.0,1.0,0.375,0.0,0.554229297,1.606753042,0.79975,0.0,7.0,16.0,0.00017,1.0,0.683060109,0.943423781,17.75564393,462.0,0.04401204,0.000313968,67.0,-13.995312,7.688599,5.340769,0.5346181,-27.225265,8.337235,0.810384348,0.038910049,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,18.2198,177.78846951111112,4.819278892226176,8.725555172052275,1.0
HAUS4,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1092.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.123445926,0.112,0.0,2.0,2.0,0.330033003,1.0,0.547345375,0.877216901,20.24300309,185.0,0.03786223,2.63e-05,16.0,-11.59,5.0111234,0.28,5.8430567,-15.546666,6.5773726,0.400884645,0.03382311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.010000000000002,165.25620000000004,6.924371888085091,13.138455953034695,0.0
AWAT2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1002.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.601466448,0.6105,0.0,2.0,2.0,1.0,1.0,0.565291125,0.887741331,17.34630336,458.029114,0.01640527,0.0,0.0,6.555,1.5695503,8.973333,2.0034252,-0.7,5.5946514,0.400884645,0.03382311,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.05,0.4049999999999987,0.5582150878690868,1.6945293899508065,0.0
SPATS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1638.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.141043724,1.0,0.112803158,0.358952165,21.05118305,217.0,0.04331626,8.32e-06,7.0,1.1527097,0.9778969,3.8196396,0.6409017,-5.5752274,1.2159393,0.054151754,17.69473854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.304333333333332,3.920516333333331,6.670767909138313,12.040881026396631,0.0
PEX1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,3852.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,2.0,0.092336103,1.0,0.986193294,0.999904246,19.51840401,369.0,0.02753454,8.05e-06,8.0,10.6225,1.9818975,14.203334,2.2035042,-0.12,5.5946514,0.039872579,0.00077714,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.174,387.084828,6.179292540054244,10.389266118517716,0.0
BEND6,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,840.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.702522731,0.316666667,0.0,3.0,3.0,0.720980534,1.0,0.289519398,0.64838824,18.70807283,271.0,0.02255592,0.0,0.0,31.695,5.110689,31.695,5.110689,-16.898121,5.5946514,0.400884645,0.03382311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,18.225,48.50749999999999,3.978726867757939,7.765695311917527,0.0
