geneid,score,index_i
enhancers::chr17:40377200-40378600::NA::NA,0.19880302,8341
enhancers::chr17:40455200-40455800::NA::NA,0.19880302,8342
enhancers::chr17:40465200-40475000::NA::NA,0.19880302,8343
enhancers::chr17:40476800-40480000::NA::NA,0.19880302,8344
enhancers::chr17:40484600-40485800::NA::NA,0.19880302,8345
enhancers::chr17:40994200-40995400::NA::NA,0.19880302,8369
enhancers::chr3:116489600-116490400::NA::NA,0.19880302,17691
enhancers::chr3:116495800-116496800::NA::NA,0.19880302,17692
enhancers::chr3:116534600-116536600::NA::NA,0.19880302,17693
enhancers::chr3:116560000-116562600::NA::NA,0.19880302,17694
enhancers::chr3:116648600-116650400::NA::NA,0.19880302,17696
enhancers::chr3:116666400-116667400::NA::NA,0.19880302,17697
enhancers::chr3:116669000-116671400::NA::NA,0.19880302,17698
enhancers::chr6:109851000-109852000::NA::NA,0.19880302,23768
enhancers::chr6:109901600-109902400::NA::NA,0.19880302,23769
enhancers::chr6:109944400-109945000::NA::NA,0.19880302,23770
enhancers::chr6:109949400-109950200::NA::NA,0.19880302,23771
enhancers::chr6:109992600-109993600::NA::NA,0.19880302,23772
enhancers::chr6:110060400-110061200::NA::NA,0.19880302,23773
enhancers::chr6:110111400-110113000::NA::NA,0.19880302,23774
enhancers::chr6:110155200-110156400::NA::NA,0.19880302,23775
enhancers::chr6:110334400-110335200::NA::NA,0.19880302,23776
enhancers::chr6:110437400-110438000::NA::NA,0.19880302,23777
enhancers::chr6:110522200-110524000::NA::NA,0.19880302,23778
enhancers::chr6:110590600-110591800::NA::NA,0.19880302,23779
enhancers::chr6:110608200-110608800::NA::NA,0.19880302,23780
enhancers::chr6:110699600-110700400::NA::NA,0.19880302,23781
enhancers::chr6:110881600-110883200::NA::NA,0.19880302,23783
enhancers::chr6:110938800-110939800::NA::NA,0.19880302,23784
gc19_pc.3utr::gencode::AOC2::ENSG00000131480.4,0.19880302,31789
gc19_pc.3utr::gencode::CDC40::ENSG00000168438.10,0.19880302,33959
gc19_pc.3utr::gencode::CDK19::ENSG00000155111.10,0.19880302,34025
gc19_pc.3utr::gencode::GNAI2::ENSG00000114353.12,0.1616212,37682
gc19_pc.3utr::gencode::GNAT1::ENSG00000114349.5,0.19880302,37688
gc19_pc.3utr::gencode::GPR6::ENSG00000146360.7,0.19880302,37889
gc19_pc.3utr::gencode::IFRD2::ENSG00000214706.6,0.1616212,38778
gc19_pc.3utr::gencode::LSMEM2::ENSG00000179564.3,0.19880302,40306
gc19_pc.3utr::gencode::METTL24::ENSG00000053328.8,0.19880302,40789
gc19_pc.3utr::gencode::PSME3::ENSG00000131467.6,0.1616212,44058
gc19_pc.3utr::gencode::SEMA3F::ENSG00000001617.7,0.1616212,45625
gc19_pc.3utr::gencode::SLC22A16::ENSG00000004809.9,0.19880302,46036
gc19_pc.3utr::gencode::STAT3::ENSG00000168610.10,0.1616212,46968
gc19_pc.3utr::gencode::STAT5A::ENSG00000126561.12,0.1616212,46970
gc19_pc.3utr::gencode::WASF1::ENSG00000112290.8,0.19880302,49125
gc19_pc.5utr::gencode::AK9::ENSG00000155085.11,0.19880302,50805
gc19_pc.5utr::gencode::AOC2::ENSG00000131480.4,0.19880302,51157
gc19_pc.5utr::gencode::AOC3::ENSG00000131471.2,0.19880302,51158
gc19_pc.5utr::gencode::CDC40::ENSG00000168438.10,0.19880302,53299
gc19_pc.5utr::gencode::DDO::ENSG00000203797.5,0.19880302,54699
gc19_pc.5utr::gencode::FIG4::ENSG00000112367.6,0.1616212,56350
gc19_pc.5utr::gencode::GNAI2::ENSG00000114353.12,0.1616212,56992
gc19_pc.5utr::gencode::GNAT1::ENSG00000114349.5,0.19880302,56998
gc19_pc.5utr::gencode::GPR6::ENSG00000146360.7,0.19880302,57208
gc19_pc.5utr::gencode::LSMEM2::ENSG00000179564.3,0.19880302,59577
gc19_pc.5utr::gencode::SLC22A16::ENSG00000004809.9,0.19880302,65248
gc19_pc.5utr::gencode::STAT5A::ENSG00000126561.12,0.1616212,66175
gc19_pc.5utr::gencode::STAT5B::ENSG00000173757.5,0.19880302,66176
gc19_pc.5utr::gencode::WASF1::ENSG00000112290.8,0.19880302,68313
gc19_pc.promCore::gencode::AK9::ENSG00000155085.11,0.19880302,70164
gc19_pc.promCore::gencode::AOC2::ENSG00000131480.4,0.19880302,70599
gc19_pc.promCore::gencode::AOC3::ENSG00000131471.2,0.19880302,70600
gc19_pc.promCore::gencode::CDC40::ENSG00000168438.10,0.19880302,72818
gc19_pc.promCore::gencode::DDO::ENSG00000203797.5,0.19880302,74256
gc19_pc.promCore::gencode::FIG4::ENSG00000112367.6,0.1616212,75941
gc19_pc.promCore::gencode::GNAI2::ENSG00000114353.12,0.1616212,76611
gc19_pc.promCore::gencode::GNAT1::ENSG00000114349.5,0.19880302,76617
gc19_pc.promCore::gencode::GPR6::ENSG00000146360.7,0.19880302,76836
gc19_pc.promCore::gencode::LSMEM2::ENSG00000179564.3,0.19880302,79288
gc19_pc.promCore::gencode::METTL24::ENSG00000053328.8,0.19880302,79778
gc19_pc.promCore::gencode::SLC22A16::ENSG00000004809.9,0.19880302,85322
gc19_pc.promCore::gencode::STAT5A::ENSG00000126561.12,0.1616212,86261
gc19_pc.promCore::gencode::STAT5B::ENSG00000173757.5,0.19880302,86262
gc19_pc.promCore::gencode::WASF1::ENSG00000112290.8,0.19880302,88464
lncrna.ncrna::gencode::LINC00901::ENSG00000242385.1,0.19880302,90408
lncrna.ncrna::gencode::SEMA3B-AS1::ENSG00000232352.1,0.19880302,92070
lncrna.ncrna::gencode::SEMA3B::ENSG00000012171.13,0.1616212,92071
lncrna.ncrna::gencode::SLC38A3::ENSG00000188338.10,0.19880302,92080
lncrna.ncrna::mitranscriptome::G055758::G055758,0.19880302,94037
lncrna.ncrna::mitranscriptome::G072492::G072492,0.19880302,94607
lncrna.ncrna::mitranscriptome::G072497::G072497,0.19880302,94608
lncrna.promCore::gencode::LINC00901::ENSG00000242385.1,0.19880302,95976
