Hugo_Symbol,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,Silent,Splice_Site,Translation_Start_Site,DEL,INS,SNP,pnum,gene length,silent,nonsense,splice site,missense,recurrent missense,normalized missense position entropy,frameshift indel,inframe indel,normalized mutation entropy,Mean Missense MGAEntropy,Mean VEST Score,lost start and stop,missense to silent,non-silent to silent,inactivating p-value,entropy p-value,vest p-value,combined p-value,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,all_mean,all_var,up_mean,up_var,down_mean,down_var,dnam_mean,dnam_var,AAA_ref,AAC_ref,AAG_ref,AAT_ref,ACA_ref,ACC_ref,ACG_ref,ACT_ref,AGA_ref,AGC_ref,AGG_ref,ATA_ref,ATC_ref,ATG_ref,CAA_ref,CAC_ref,CAG_ref,CCA_ref,CCC_ref,CCG_ref,CGA_ref,CGC_ref,CTA_ref,CTC_ref,GAA_ref,GAC_ref,GCA_ref,GCC_ref,GGA_ref,GTA_ref,TAA_ref,TCA_ref,cadd_mean,cadd_var,exp_mean,exp_var,class
NRAS,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,570.0,0.0,0.0,0.0,1.0,0.736842105,0.513038463,0.0,0.0,0.488258577,0.288892586,0.880473684,0.0,19.0,19.0,1.0,0.0,0.0,2.4e-09,19.19616553,472.0,0.01059793,3.59e-05,18.0,-2.9191667,3.3701025,3.2031998,0.35070188,-16.833636,7.886853,0.089087542,0.001641861,0.0,0.0,0.0,0.0,6.0,6.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.33333333333333,10.402333333333338,7.590942470206424,13.417677223338352,1.0
NTRK1,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,2391.0,0.0,0.090909091,0.0,0.909090909,0.0,1.0,0.0,0.0,0.947442759,0.978526015,0.539181818,0.0,10.0,11.0,0.414593698,0.817744522,0.534473544,0.798810243,20.52208149,208.0,0.04542559,0.055172583,1945.0,3.002,0.8722361,5.776154,1.1280053,-2.15,0.029655665,1.443968467,0.011310703,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.509933333333333,205.0105717809524,1.708891725313449,4.5190254045696046,1.0
MSH6,2.0,1.0,0.0,0.0,16.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,19.0,19.0,4083.0,0.0,0.136363636,0.0,0.727272727,0.0,1.0,0.136363636,0.0,0.841910397,0.606836369,0.720681818,0.0,16.0,22.0,0.945179584,1.0,0.056430224,0.218653032,18.89718517,587.0,0.03151994,6.26e-05,64.0,0.21225,0.21389213,2.357,0.25521212,-1.9325,0.08698851,0.075280047,0.000905702,2.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,2.0,23.74151851851852,64.26931610541311,6.970812180204294,11.878523364729286,1.0
PCBP1,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,1071.0,0.0,0.0,0.0,1.0,0.875,0.372828664,0.0,0.0,0.372828664,0.471867137,0.7734375,0.0,16.0,16.0,1.0,0.00633,0.04747,0.002737453,19.38816973,156.0,0.05189344,0.001002082,160.0,4.35,0.9968145,9.508125,1.343019,-1.152,0.068667746,0.091327104,0.000193895,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.796818181818185,13.921746536796537,8.92930444575605,14.98107026444437,1.0
ZFP36L2,10.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,9.0,2.0,21.0,1485.0,0.0,0.047619048,0.0,0.047619048,0.0,1.0,0.904761905,0.0,0.062881482,0.423698819,0.990761905,0.0,1.0,21.0,1.0,0.00172,0.0101,0.00020778,17.79789009,208.0,0.0468463,0.0,3.0,2.0766666,0.4491898,5.3145833,0.5462321,-1.6238095,0.090459443,0.135107448,0.000361925,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,25.6975,107.49535833333334,8.967042242730573,15.981735503532963,1.0
ERBB2,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,15.0,3768.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.971217583,0.569055219,0.501588235,0.0,17.0,17.0,0.992063492,0.0,0.0,2.4e-09,20.29332795,226.0,0.03763767,0.000661984,122.0,19.56206,39.523986,31.729093,57.644415,-2.7441667,0.13478172,0.566470018,0.025984578,0.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,20.591615384615388,44.37249504615384,8.81262071028022,19.308222614938824,1.0
KRAS,0.0,0.0,0.0,0.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0,174.0,570.0,0.0,0.0,0.0,1.0,0.966101695,0.234164061,0.0,0.0,0.234164061,0.257207279,0.948389831,0.0,177.0,177.0,1.0,0.0,0.0,2.4e-09,17.98367001,512.0,0.0163318,0.000268849,37.0,3.8368825,1.8820921,6.877539,1.9059079,-5.429881,0.6773587,0.231830664,0.001368773,1.0,0.0,3.0,5.0,1.0,98.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,24.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,32.0,0.0,1.0,0.0,5.0,26.12943877551023,7.584333529565676,7.246575490582707,13.033853843918168,1.0
BRAF,2.0,0.0,0.0,0.0,56.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,59.0,58.0,2301.0,0.0,0.032786885,0.016393443,0.918032787,0.786885246,0.175681394,0.032786885,0.0,0.221372793,0.252966128,0.942819672,0.0,56.0,61.0,1.0,0.0,0.0,2.4e-09,18.21935147,616.0,0.02459647,4.78e-05,42.0,1.5343802,0.9958827,4.0296298,0.9940759,-3.5184998,0.63394695,0.338398796,0.008191781,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,52.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,30.0475,12.74687619047619,4.632594034678487,7.320900595884853,1.0
APC,105.0,50.0,0.0,0.0,50.0,259.0,0.0,0.0,13.0,0.0,105.0,53.0,319.0,290.0,8532.0,0.0,0.540084388,0.02742616,0.105485232,0.0,1.0,0.327004219,0.0,0.120245489,0.57171248,0.950535865,0.0,50.0,474.0,0.0,1.0,1.0,1.0,17.91887954,399.0,0.0275499,0.001185918,137.0,-4.2563308,2.3531236,2.492568,0.34313872,-12.950401,3.6037993,1.624613048,1.561553903,3.0,4.0,3.0,2.0,15.0,6.0,42.0,3.0,13.0,6.0,4.0,1.0,2.0,0.0,4.0,0.0,2.0,4.0,2.0,4.0,43.0,72.0,5.0,0.0,1.0,1.0,11.0,6.0,7.0,3.0,4.0,72.0,34.586434782608706,42.11658633948429,6.264181200032835,10.930148286040964,1.0
NTRK2,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,2517.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.946708341,0.557837347,0.634222222,0.0,18.0,18.0,0.50530571,1.0,0.103680664,0.33866663,14.08875677,692.0,0.001115233,4.82e-05,24.0,1.224,0.18476484,2.1656523,0.2544979,-0.58083334,0.00801972,0.368560264,0.108009142,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,18.24723333333333,124.19986604712642,5.468648064782076,12.637098352740916,1.0
