geneid,score
enhancers::chr10:33311200-33312000::NA::NA,0.6806439
enhancers::chr12:19190600-19191200::NA::NA,0.6690078
enhancers::chr12:41830000-41832800::NA::NA,0.687319
enhancers::chr12:62712200-62713200::NA::NA,0.66783893
enhancers::chr12:68914800-68916800::NA::NA,0.6649027
enhancers::chr12:68923200-68925400::NA::NA,0.6685702
enhancers::chr12:80446200-80447400::NA::NA,0.68113476
enhancers::chr19:13780800-13782200::NA::NA,0.7016505
enhancers::chr1:172937400-172938800::NA::NA,0.67169493
enhancers::chr1:45112200-45116600::NA::NA,0.6860278
enhancers::chr22:17929800-17931000::NA::NA,0.69048405
enhancers::chr22:31337600-31345800::NA::NA,0.6707553
enhancers::chr2:197112200-197116400::NA::NA,0.66519284
enhancers::chr3:111550600-111551200::NA::NA,0.6817015
enhancers::chr3:86863200-86865600::NA::NA,0.6903954
enhancers::chr5:130588400-130598200::NA::NA,0.6611292
enhancers::chr5:132564400-132568800::NA::NA,0.66095454
enhancers::chr5:137372200-137375600::NA::NA,0.68570197
enhancers::chr5:139859800-139862200::NA::NA,0.683996
enhancers::chr5:142850600-142851800::NA::NA,0.69729185
enhancers::chr5:40991000-40993800::NA::NA,0.6839015
enhancers::chr6:132828200-132829000::NA::NA,0.68183887
enhancers::chr7:55565400-55566600::NA::NA,0.68311703
enhancers::chr7:73928400-73929200::NA::NA,0.6651353
enhancers::chr9:103436200-103438000::NA::NA,0.67877287
enhancers::chr9:27765400-27766400::NA::NA,0.68991697
enhancers::chrX:135208600-135209800::NA::NA,0.672544
enhancers::chrX:135213000-135213600::NA::NA,0.672544
enhancers::chrX:135357200-135358400::NA::NA,0.672544
enhancers::chrX:135539600-135540600::NA::NA,0.67851144
enhancers::chrX:135666600-135671600::NA::NA,0.68245953
enhancers::chrX:146957200-146958000::NA::NA,0.67307484
enhancers::chrX:146965800-146967200::NA::NA,0.67307484
enhancers::chrX:146975800-146976400::NA::NA,0.68575555
enhancers::chrX:147952000-147953800::NA::NA,0.7051997
enhancers::chrX:147995200-147996800::NA::NA,0.71167797
enhancers::chrX:148067000-148069600::NA::NA,0.7107787
enhancers::chrX:148394200-148394800::NA::NA,0.7083635
enhancers::chrX:148446000-148447200::NA::NA,0.71643883
enhancers::chrX:148573200-148580000::NA::NA,0.7170246
enhancers::chrX:149204000-149205600::NA::NA,0.7170246
enhancers::chrX:149367200-149368200::NA::NA,0.7170246
enhancers::chrX:149368800-149370000::NA::NA,0.7170246
enhancers::chrX:149422200-149422800::NA::NA,0.71167797
enhancers::chrX:149436800-149437400::NA::NA,0.71167797
enhancers::chrX:149438200-149439400::NA::NA,0.71167797
enhancers::chrX:150110200-150112000::NA::NA,0.68964577
enhancers::chrX:150555000-150556000::NA::NA,0.7074015
enhancers::chrX:24675200-24677200::NA::NA,0.66389406
enhancers::chrX:24690600-24692000::NA::NA,0.66389406
enhancers::chrX:25101600-25102800::NA::NA,0.691731
gc19_pc.3utr::gencode::CT45A2::ENSG00000242185.3,0.6938253
gc19_pc.3utr::gencode::CT45A3::ENSG00000232417.5,0.6934797
gc19_pc.3utr::gencode::CT45A4::ENSG00000228836.4,0.6938253
gc19_pc.3utr::gencode::CT45A5::ENSG00000242284.3,0.6938253
gc19_pc.3utr::gencode::CT45A6::ENSG00000226907.4,0.6938253
gc19_pc.3utr::gencode::CXorf40A::ENSG00000197620.6,0.7170246
gc19_pc.3utr::gencode::CXorf40B::ENSG00000197021.4,0.7170246
gc19_pc.3utr::gencode::CXorf48::ENSG00000169551.8,0.6938253
gc19_pc.3utr::gencode::FGF2::ENSG00000138685.8,0.6737729
gc19_pc.3utr::gencode::GPR112::ENSG00000156920.6,0.6752595
gc19_pc.3utr::gencode::GPR50::ENSG00000102195.7,0.7049054
gc19_pc.3utr::gencode::HMGB3::ENSG00000029993.10,0.68964577
gc19_pc.3utr::gencode::HSFX1::ENSG00000171116.7,0.7170246
gc19_pc.3utr::gencode::HSFX2::ENSG00000171129.7,0.7170246
gc19_pc.3utr::gencode::IDS::ENSG00000241489.3,0.7170246
gc19_pc.3utr::gencode::MAGEA9::ENSG00000166008.5,0.7170246
gc19_pc.3utr::gencode::MAGEA9B::ENSG00000123584.7,0.7170246
gc19_pc.3utr::gencode::MAMLD1::ENSG00000013619.9,0.7105572
gc19_pc.3utr::gencode::NOTCH3::ENSG00000074181.4,0.6849062
gc19_pc.3utr::gencode::PASD1::ENSG00000166049.10,0.66346663
gc19_pc.3utr::gencode::PDCD5::ENSG00000105185.7,0.6640009
gc19_pc.3utr::gencode::PNCK::ENSG00000130822.11,0.66829544
gc19_pc.3utr::gencode::PSMD8::ENSG00000099341.7,0.66217303
gc19_pc.3utr::gencode::RPH3AL::ENSG00000181031.11,0.7179528
gc19_pc.3utr::gencode::SAGE1::ENSG00000181433.5,0.6938253
gc19_pc.3utr::gencode::SCFD2::ENSG00000184178.11,0.7160306
gc19_pc.3utr::gencode::SLITRK4::ENSG00000179542.11,0.6824554
gc19_pc.3utr::gencode::SPANXN2::ENSG00000203924.2,0.6824554
gc19_pc.3utr::gencode::SPANXN4::ENSG00000189326.4,0.67771935
gc19_pc.3utr::gencode::UBE2NL::ENSG00000102069.3,0.68783313
gc19_pc.3utr::gencode::UTP18::ENSG00000011260.9,0.70622563
gc19_pc.3utr::gencode::VEGFA::ENSG00000112715.16,0.67129236
gc19_pc.3utr::gencode::VGLL1::ENSG00000102243.8,0.66874224
gc19_pc.3utr::gencode::VOPP1::ENSG00000154978.8,0.6752327
gc19_pc.3utr::gencode::ZNF75D::ENSG00000186376.10,0.7163707
gc19_pc.5utr::gencode::ALKBH6::ENSG00000239382.6,0.7058567
gc19_pc.5utr::gencode::BIK::ENSG00000100290.2,0.6627688
gc19_pc.5utr::gencode::BPIFA2::ENSG00000131050.6,0.66841465
gc19_pc.5utr::gencode::COLQ::ENSG00000206561.8,0.71717477
gc19_pc.5utr::gencode::CT45A2::ENSG00000242185.3,0.69621855
gc19_pc.5utr::gencode::CT45A3::ENSG00000232417.5,0.6938253
gc19_pc.5utr::gencode::CT45A4::ENSG00000228836.4,0.6938253
gc19_pc.5utr::gencode::CT45A5::ENSG00000242284.3,0.6938253
gc19_pc.5utr::gencode::CXorf48::ENSG00000169551.8,0.6938253
gc19_pc.5utr::gencode::DDHD2::ENSG00000085788.9,0.6718293
gc19_pc.5utr::gencode::DDX26B::ENSG00000165359.10,0.6938253
gc19_pc.5utr::gencode::GPR50::ENSG00000102195.7,0.7049054
gc19_pc.5utr::gencode::HSFX1::ENSG00000171116.7,0.7170246
gc19_pc.5utr::gencode::HSFX2::ENSG00000171129.7,0.7170246
gc19_pc.5utr::gencode::HTATSF1::ENSG00000102241.7,0.67851144
gc19_pc.5utr::gencode::IDS::ENSG00000241489.3,0.7170246
gc19_pc.5utr::gencode::IL17REL::ENSG00000188263.6,0.72461444
gc19_pc.5utr::gencode::IRF1::ENSG00000125347.9,0.6677301
gc19_pc.5utr::gencode::MAGEA9::ENSG00000166008.5,0.7170246
gc19_pc.5utr::gencode::MAGEA9B::ENSG00000123584.7,0.7170246
gc19_pc.5utr::gencode::MAGEB1::ENSG00000214107.3,0.725843
gc19_pc.5utr::gencode::MFSD6L::ENSG00000185156.4,0.6837965
gc19_pc.5utr::gencode::MMGT1::ENSG00000169446.4,0.6784037
gc19_pc.5utr::gencode::MTRNR2L3::ENSG00000256222.1,0.66369337
gc19_pc.5utr::gencode::N4BP2L1::ENSG00000139597.12,0.6627056
gc19_pc.5utr::gencode::NFKBIA::ENSG00000100906.6,0.676778
gc19_pc.5utr::gencode::NKRF::ENSG00000186416.8,0.6834454
gc19_pc.5utr::gencode::PDZD4::ENSG00000067840.8,0.67585593
gc19_pc.5utr::gencode::PJA1::ENSG00000181191.11,0.6887544
gc19_pc.5utr::gencode::PKN1::ENSG00000123143.8,0.6700668
gc19_pc.5utr::gencode::POLA1::ENSG00000101868.6,0.66389406
gc19_pc.5utr::gencode::RBM12B::ENSG00000183808.7,0.6634555
gc19_pc.5utr::gencode::SHROOM1::ENSG00000164403.10,0.67379415
gc19_pc.5utr::gencode::SLC9A6::ENSG00000198689.5,0.6784037
gc19_pc.5utr::gencode::SPANXN1::ENSG00000203923.4,0.6869979
gc19_pc.5utr::gencode::SPANXN2::ENSG00000203924.2,0.6824554
gc19_pc.5utr::gencode::SPANXN3::ENSG00000189252.4,0.6681912
gc19_pc.5utr::gencode::TAL1::ENSG00000162367.7,0.68195516
gc19_pc.5utr::gencode::TMEM185A::ENSG00000155984.10,0.7170246
gc19_pc.5utr::gencode::TUBA1A::ENSG00000167552.9,0.6667645
gc19_pc.5utr::gencode::TUBA4A::ENSG00000127824.9,0.6639025
gc19_pc.5utr::gencode::UBE2NL::ENSG00000102069.3,0.68783313
gc19_pc.5utr::gencode::USP43::ENSG00000154914.12,0.67512035
gc19_pc.5utr::gencode::WDR87::ENSG00000171804.5,0.66627705
gc19_pc.promCore::gencode::BPIFA2::ENSG00000131050.6,0.66841465
gc19_pc.promCore::gencode::CETN2::ENSG00000147400.8,0.69166464
