geneid,score,index_i
enhancers::chr10:102703200-102704000::NA::NA,0.73692274,32
enhancers::chr10:102795600-102797600::NA::NA,0.74679357,34
enhancers::chr10:1119200-1121000::NA::NA,0.6288731,116
enhancers::chr10:1153000-1153800::NA::NA,0.6288731,150
enhancers::chr10:124972200-124973000::NA::NA,0.89820397,248
enhancers::chr10:124989600-124990400::NA::NA,0.6448552,249
enhancers::chr10:127517400-127518400::NA::NA,0.835927,270
enhancers::chr10:127529400-127531200::NA::NA,0.7531364,271
enhancers::chr10:127532200-127534400::NA::NA,0.7531364,272
enhancers::chr10:32350400-32351200::NA::NA,0.79030114,492
enhancers::chr10:32354600-32355800::NA::NA,0.79030114,493
enhancers::chr10:32359800-32360800::NA::NA,0.79030114,495
enhancers::chr10:32361200-32361800::NA::NA,0.79030114,496
enhancers::chr10:32380200-32380800::NA::NA,0.79030114,497
enhancers::chr10:5786600-5787400::NA::NA,0.85007524,730
enhancers::chr10:5829600-5831600::NA::NA,0.9422752,734
enhancers::chr10:5874600-5876600::NA::NA,0.67809385,737
enhancers::chr10:62659200-62660200::NA::NA,0.7274214,806
enhancers::chr10:72639600-72640200::NA::NA,0.8671523,909
enhancers::chr10:75528400-75529200::NA::NA,0.71233,958
enhancers::chr10:7805400-7807400::NA::NA,0.8232216,981
enhancers::chr10:7866200-7867400::NA::NA,0.7246207,984
enhancers::chr10:81913600-81916200::NA::NA,0.6816832,1028
enhancers::chr10:88255600-88258400::NA::NA,0.6685892,1077
enhancers::chr10:90720000-90720800::NA::NA,0.8106499,1151
enhancers::chr10:90721200-90722600::NA::NA,0.8106499,1152
enhancers::chr10:922400-923200::NA::NA,0.76678115,1174
enhancers::chr11:102200800-102201600::NA::NA,0.9439738,1306
enhancers::chr11:102267000-102268400::NA::NA,0.96346825,1309
enhancers::chr11:102356000-102356800::NA::NA,0.61837536,1311
enhancers::chr11:102398200-102400000::NA::NA,0.6035064,1314
enhancers::chr11:10849800-10850600::NA::NA,0.9030251,1399
enhancers::chr11:10862200-10865400::NA::NA,0.9030251,1400
enhancers::chr11:118677000-118677800::NA::NA,0.8399858,1516
enhancers::chr11:118704800-118705600::NA::NA,0.8176455,1518
enhancers::chr11:118722400-118723600::NA::NA,0.7994631,1519
enhancers::chr11:118773800-118774600::NA::NA,0.7994631,1520
enhancers::chr11:122940600-122944600::NA::NA,0.6629925,1548
enhancers::chr11:126103200-126104000::NA::NA,0.9104278,1560
enhancers::chr11:126116200-126116800::NA::NA,0.9494996,1561
enhancers::chr11:126127600-126128200::NA::NA,0.98482805,1562
enhancers::chr11:126150400-126151200::NA::NA,0.98482805,1563
enhancers::chr11:128756600-128757600::NA::NA,0.69891274,1588
enhancers::chr11:129116800-129118000::NA::NA,0.87986887,1589
enhancers::chr11:12915600-12916600::NA::NA,0.7896447,1590
enhancers::chr11:12944200-12945200::NA::NA,0.736609,1594
enhancers::chr11:129512200-129514600::NA::NA,0.69206864,1596
enhancers::chr11:129594600-129595200::NA::NA,0.69206864,1597
enhancers::chr11:129705600-129707200::NA::NA,0.8929973,1602
enhancers::chr11:129757000-129758000::NA::NA,0.8890484,1605
enhancers::chr11:129758400-129760000::NA::NA,0.8890484,1606
enhancers::chr11:129797200-129797800::NA::NA,0.8890484,1607
enhancers::chr11:129802000-129803600::NA::NA,0.93229294,1608
enhancers::chr11:129807600-129808600::NA::NA,0.9348157,1610
enhancers::chr11:129895000-129895600::NA::NA,0.9348157,1613
enhancers::chr11:130062600-130063400::NA::NA,0.85217154,1617
enhancers::chr11:130067400-130068600::NA::NA,0.85217154,1618
enhancers::chr11:130356800-130360000::NA::NA,0.9203416,1621
enhancers::chr11:130746000-130749000::NA::NA,0.6611145,1623
enhancers::chr11:130773400-130774200::NA::NA,0.6611145,1626
enhancers::chr11:130777000-130778000::NA::NA,0.6611145,1627
enhancers::chr11:33787600-33788400::NA::NA,0.66822034,1840
enhancers::chr11:34135600-34136200::NA::NA,0.8213531,1848
enhancers::chr11:34148600-34149200::NA::NA,0.8213531,1849
enhancers::chr11:34164400-34165600::NA::NA,0.8213531,1850
enhancers::chr11:46431400-46433000::NA::NA,0.6267987,1918
enhancers::chr11:46458800-46460400::NA::NA,0.6267987,1919
enhancers::chr11:47116400-47118200::NA::NA,0.72599185,1937
enhancers::chr11:47129400-47133600::NA::NA,0.72599185,1938
enhancers::chr11:473000-474400::NA::NA,0.8774029,1944
enhancers::chr11:47693800-47694600::NA::NA,0.6113586,1962
enhancers::chr11:57580400-57581000::NA::NA,0.71891576,2023
enhancers::chr11:59440200-59444000::NA::NA,0.6372616,2057
enhancers::chr11:59571000-59571800::NA::NA,0.95664155,2063
enhancers::chr11:602000-606800::NA::NA,0.97062904,2087
enhancers::chr11:60667400-60671000::NA::NA,0.648877,2094
enhancers::chr11:61112800-61118000::NA::NA,0.7707801,2099
enhancers::chr11:61908000-61909400::NA::NA,0.65474457,2118
enhancers::chr11:63359000-63360200::NA::NA,0.6365081,2133
enhancers::chr11:63360800-63363400::NA::NA,0.6365081,2134
enhancers::chr11:65689000-65690400::NA::NA,0.95949,2185
enhancers::chr11:65732000-65734000::NA::NA,0.8806111,2186
enhancers::chr11:67014600-67017200::NA::NA,0.8476297,2211
enhancers::chr11:67098800-67101200::NA::NA,0.8476297,2214
enhancers::chr11:67831400-67833000::NA::NA,0.9750514,2220
enhancers::chr11:68167800-68170000::NA::NA,0.8880169,2228
enhancers::chr11:68336600-68337400::NA::NA,0.9907415,2234
enhancers::chr11:68564000-68565000::NA::NA,0.96876645,2238
enhancers::chr11:68579400-68580600::NA::NA,0.96876645,2239
enhancers::chr11:688800-690600::NA::NA,0.92113733,2242
enhancers::chr11:69463200-69470200::NA::NA,0.97871405,2246
enhancers::chr11:70220200-70221000::NA::NA,0.89476186,2251
enhancers::chr11:71716000-71718600::NA::NA,0.853736,2285
enhancers::chr11:71734400-71736400::NA::NA,0.96303856,2287
enhancers::chr11:71805600-71806600::NA::NA,0.61490494,2288
enhancers::chr11:72402400-72403600::NA::NA,0.9472467,2295
enhancers::chr11:72411000-72411600::NA::NA,0.92474544,2296
enhancers::chr11:73938000-73939600::NA::NA,0.6584788,2309
enhancers::chr11:73999200-73999800::NA::NA,0.6584788,2310
enhancers::chr11:74242800-74243600::NA::NA,0.8663822,2314
enhancers::chr11:75124600-75126400::NA::NA,0.67831904,2323
enhancers::chr11:75995000-75995600::NA::NA,0.8404804,2330
enhancers::chr11:76613200-76615600::NA::NA,0.70529974,2334
enhancers::chr11:76697400-76699200::NA::NA,0.70529974,2335
