geneid,freq_Intron,freq_IGR,freq_RNA,freq_Missense_Mutation,freq_3UTR,freq_lincRNA,freq_5Flank,freq_Silent,freq_5UTR,freq_Splice_Site,freq_Nonsense_Mutation,freq_De_novo_Start_OutOfFrame,freq_Frame_Shift_Del,freq_In_Frame_Del,freq_Frame_Shift_Ins,freq_De_novo_Start_InFrame,freq_Start_Codon_SNP,freq_In_Frame_Ins,freq_Nonstop_Mutation,freq_Start_Codon_Del,freq_Stop_Codon_Del,freq_Stop_Codon_Ins,freq_Start_Codon_Ins,freq_SNP,freq_DNP,freq_TNP,freq_DEL,freq_INS,freq_ONP,sample_count_mean,sample_count_var,gc_mean,gc_var,amp_mean,amp_var,amp_freq,del_mean,del_var,del_freq,abs_mean,abs_var,abs_freq,exp_mean,exp_var,rep_time,exp_CCLE,AAA_ref,AAC_ref,AAG_ref,AAT_ref,ACA_ref,ACC_ref,ACG_ref,ACT_ref,AGA_ref,AGC_ref,AGG_ref,ATA_ref,ATC_ref,ATG_ref,CAA_ref,CAC_ref,CAG_ref,CCA_ref,CCC_ref,CCG_ref,CGA_ref,CGC_ref,CTA_ref,CTC_ref,GAA_ref,GAC_ref,GCA_ref,GCC_ref,GGA_ref,GTA_ref,TAA_ref,TCA_ref,CADD_mean,CADD_var,CSS_mean,CSS_var,label
gc19_pc.3utr::gencode::CCND1::ENSG00000110092.3,9.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,3.0,2.0,0.0,1.15,0.2394736842105262,0.5233043478260869,0.0159429486166007,3.016233772727273,4.8270766288798646,153.0,-0.8333334545454547,0.0611110222222727,11.0,2.870707084848485,4.80533569173855,164.0,5.46816430889757,1.4950116581479505,431.0,21.632444137477133,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,9.934555555555557,70.93709296732025,0.3888118333333333,0.0235627629807352,1.0
gc19_pc.3utr::gencode::CXCL12::ENSG00000107562.12,285.0,18.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.0,4.0,0.0,9.0,6.0,0.0,1.2243346007604563,0.5410849563173018,0.4688447204968946,0.0083315334455602,1.0820513846153836,0.6293476174539272,39.0,-0.8585859696969698,0.0401409353956553,33.0,0.9796297361111104,0.3674977400974082,71.0,3.4041646662381315,2.9675084524963493,855.0,12.09341756438796,10.0,10.0,18.0,5.0,14.0,15.0,9.0,4.0,27.0,12.0,5.0,6.0,5.0,1.0,5.0,15.0,6.0,13.0,16.0,5.0,9.0,12.0,5.0,5.0,8.0,1.0,13.0,11.0,12.0,7.0,6.0,13.0,3.3125132450331107,11.06291504799674,0.4283533013245033,0.0375527043525035,1.0
gc19_pc.3utr::gencode::TYMS::ENSG00000176890.11,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.348,0.0012249999999999,1.3958333999999994,1.3713496267806566,40.0,-0.8974359230769231,0.0580483831909102,13.0,1.2735849622641506,1.0887759338413452,53.0,3.113012413986492,0.9822771860650276,486.0,20.999951844054063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.493666666666667,21.259940333333333,0.3813176666666666,0.0425139422573333,1.0
gc19_pc.5utr::gencode::TYMS::ENSG00000176890.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3958333999999994,1.3713496267806566,40.0,-0.8974359230769231,0.0580483831909102,13.0,1.2735849622641506,1.0887759338413452,53.0,3.113012413986492,0.9822771860650276,486.0,20.999951844054063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
gc19_pc.promCore::gencode::BRCA1::ENSG00000012048.15,63.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,1.0,0.0,5.0,0.0,0.0,1.1016949152542372,0.1963763880771478,0.4456769230769228,0.0084438783653846,1.099275413043478,0.4244685245410923,46.0,-0.8503145471698114,0.050325710482214,53.0,0.9659933333333334,0.2371876893882447,99.0,1.2889762858775948,0.4262186781224359,201.0,19.99157166815011,2.0,1.0,3.0,2.0,3.0,1.0,2.0,3.0,2.0,4.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,3.0,9.0,4.26935593220339,16.585482440093518,0.4479287966101694,0.0424557934119234,1.0
gc19_pc.promCore::gencode::BRCA2::ENSG00000139618.10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4469698181818178,1.2503522085976404,44.0,-0.8795699838709675,0.0573899272460489,62.0,1.1150944433962269,0.6242990092283438,106.0,0.7794978955980786,0.4130022769506986,464.0,17.064079609123368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
gc19_pc.promCore::gencode::GSTP1::ENSG00000084207.11,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.74875,7.158333333333383e-05,1.6111111733333332,2.160159998999037,75.0,-0.8333334666666666,0.0515872222222666,15.0,1.4814815555555558,1.889166157858272,90.0,6.549780991934485,4.216017872406639,215.0,21.76878887016177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6,8.736199999999998,0.3462754999999999,0.0033011875124999,1.0
gc19_pc.promCore::gencode::MGMT::ENSG00000170430.9,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.73475,0.0014395833333333,1.075757681818181,0.8029127502936638,44.0,-0.8535354393939389,0.0491582097384347,66.0,0.9424243363636368,0.3580205122602435,110.0,3.690199560357384,1.0599682056342965,1096.0,14.425347051432825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7685,5.351753666666666,0.666704,0.0403688617499999,1.0
gc19_pc.promCore::gencode::MLH1::ENSG00000076242.10,53.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,3.0,1.0,0.0,1.0545454545454545,0.0525252525252525,0.4334827586206896,0.0053882540834845,1.1513514054054053,0.6222588593927477,37.0,-0.8162394615384617,0.0406357211726235,39.0,0.9793860657894732,0.347702653259289,76.0,3.221622917705347,0.1512627637628543,473.0,20.337869033982106,4.0,2.0,1.0,0.0,1.0,2.0,0.0,2.0,5.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,4.0,1.0,2.0,2.0,1.0,5.0,5.532814814814815,47.17478690845565,0.3761255,0.046514042280632,1.0
gc19_pc.promCore::gencode::TERT::ENSG00000164362.14,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7766249999999998,9.375000000000052e-06,1.3322493658536585,0.8095615876968079,122.0,-0.8208334375,0.0536110472222625,16.0,1.2733813453237406,0.7483603097232712,138.0,0.2413261944180058,0.2951739396485146,424.0,17.0662258665535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.857666666666667,7.419636333333335,0.4780546666666667,0.0229302171023333,1.0
lncrna.ss::gencode::HOTAIR::ENSG00000228630.1,1.0,0.0,18.0,2.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,1.0,0.0,2.0,1.0,0.0,1.0285714285714285,0.0285714285714285,0.5212222222222221,0.0068137777777777,0.9904762857142858,0.2956580952381514,35.0,-0.8405798478260867,0.0369833013419541,46.0,0.9053499135802467,0.1520403587106049,81.0,0.2114435774278596,0.1259637946519832,202.0,18.498463586774047,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,2.0,10.89975,50.46208135483872,0.4932243749999999,0.0407393622365645,1.0
mirna_mat::mirbase_mature::hsa-miR-103a-3p::MIMAT0000101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0619048,0.3432772145658705,35.0,-0.7986668000000001,0.03698885222225,25.0,0.9522222999999996,0.2299948951915017,60.0,0.0,0.0,241.0,21.13873614390876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
mirna_mat::mirbase_mature::hsa-miR-106b-5p::MIMAT0000680,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.734065989010988,2.4883203313255016,91.0,-0.7121213636363637,0.0393939242424545,11.0,1.623856274509803,2.322692451217706,102.0,0.0,0.0,254.0,22.392644447575613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
mirna_mat::mirbase_mature::hsa-miR-125a-5p::MIMAT0000443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1468926610169492,0.4866328467433315,59.0,-0.7463770217391305,0.033011228019355,46.0,0.971428666666667,0.3255432570208014,105.0,0.0,0.0,627.0,16.15487742917468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
mirna_mat::mirbase_mature::hsa-miR-143-3p::MIMAT0000435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2369048035714283,0.8660879625829966,56.0,-0.8409091818181819,0.0409451327561558,22.0,1.1252137307692307,0.6619677866985111,78.0,0.0,0.0,205.0,20.990764615572385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
mirna_mat::mirbase_mature::hsa-miR-143-5p::MIMAT0004599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2369048035714283,0.8660879625829966,56.0,-0.8409091818181819,0.0409451327561558,22.0,1.1252137307692307,0.6619677866985111,78.0,0.0,0.0,205.0,20.990764615572385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
