geneid,score,index_i
enhancers::chr10:16886400-16888000::NA::NA,0.770442,341
enhancers::chr10:16890000-16891400::NA::NA,0.770442,342
enhancers::chr10:52731200-52734000::NA::NA,0.7412538,671
enhancers::chr10:87975400-87981200::NA::NA,0.7065935,1072
enhancers::chr10:87992800-87995200::NA::NA,0.8146675,1073
enhancers::chr10:92402600-92403400::NA::NA,0.7412538,1175
enhancers::chr10:96857400-96858200::NA::NA,0.79600835,1223
enhancers::chr10:96881600-96882400::NA::NA,0.79600835,1224
enhancers::chr12:14804000-14804800::NA::NA,0.770442,3120
enhancers::chr12:14807200-14808200::NA::NA,0.770442,3121
enhancers::chr12:14830200-14834400::NA::NA,0.770442,3122
enhancers::chr12:14844400-14845000::NA::NA,0.770442,3123
enhancers::chr12:14894200-14894800::NA::NA,0.770442,3124
enhancers::chr12:45794400-45796600::NA::NA,0.770442,3530
enhancers::chr13:23965600-23968400::NA::NA,0.8808556,4592
enhancers::chr15:35786800-35787400::NA::NA,0.6977319,6219
enhancers::chr15:55475600-55477200::NA::NA,0.8448487,6537
enhancers::chr15:55478200-55479000::NA::NA,0.8448487,6538
enhancers::chr16:71234800-71235600::NA::NA,0.7151648,7693
enhancers::chr16:83708000-83710200::NA::NA,0.770442,7812
enhancers::chr16:83741600-83742400::NA::NA,0.770442,7813
enhancers::chr16:83760600-83761800::NA::NA,0.770442,7814
enhancers::chr18:34171600-34173800::NA::NA,0.770442,9299
enhancers::chr18:34190200-34191600::NA::NA,0.770442,9300
enhancers::chr18:34229600-34231600::NA::NA,0.770442,9301
enhancers::chr18:34270200-34272400::NA::NA,0.770442,9303
enhancers::chr18:34291400-34292200::NA::NA,0.770442,9304
enhancers::chr18:71178800-71179600::NA::NA,0.7222439,9567
enhancers::chr1:111672000-111676800::NA::NA,0.8345238,10477
enhancers::chr1:119930400-119935000::NA::NA,0.8146675,10612
enhancers::chr1:119971000-119974200::NA::NA,0.8146675,10613
enhancers::chr1:119989000-119989800::NA::NA,0.8146675,10614
enhancers::chr1:119992800-119993400::NA::NA,0.8146675,10615
enhancers::chr1:119995200-119996000::NA::NA,0.8146675,10616
enhancers::chr1:146575000-146576600::NA::NA,0.770442,10677
enhancers::chr1:146632200-146635400::NA::NA,0.8448487,10678
enhancers::chr1:146656600-146657600::NA::NA,0.8448487,10679
enhancers::chr1:146673000-146673600::NA::NA,0.8448487,10680
enhancers::chr1:146681600-146684000::NA::NA,0.8448487,10681
enhancers::chr1:146684200-146688000::NA::NA,0.8448487,10682
enhancers::chr1:146688800-146690000::NA::NA,0.8448487,10683
enhancers::chr1:146822800-146824000::NA::NA,0.8146675,10686
enhancers::chr1:171632600-171636400::NA::NA,0.7565922,11126
enhancers::chr1:171643800-171644600::NA::NA,0.7565922,11127
enhancers::chr1:171755400-171756000::NA::NA,0.8345238,11128
enhancers::chr1:171757200-171758600::NA::NA,0.8345238,11129
enhancers::chr1:171761200-171764400::NA::NA,0.8345238,11130
enhancers::chr1:171766400-171768000::NA::NA,0.8345238,11131
enhancers::chr1:77512800-77514200::NA::NA,0.8448487,12884
enhancers::chr1:77525200-77526400::NA::NA,0.8448487,12885
enhancers::chr1:77533400-77534000::NA::NA,0.8448487,12886
enhancers::chr1:96929200-96931400::NA::NA,0.8448487,13152
enhancers::chr1:96938400-96941000::NA::NA,0.8448487,13153
enhancers::chr1:96952200-96954600::NA::NA,0.8448487,13154
enhancers::chr1:96983400-96988800::NA::NA,0.8448487,13155
enhancers::chr20:7918600-7919600::NA::NA,0.8345238,13922
enhancers::chr20:7920400-7921600::NA::NA,0.8345238,13923
enhancers::chr20:7985800-7986800::NA::NA,0.8345238,13924
enhancers::chr20:9468400-9469400::NA::NA,0.770442,13938
enhancers::chr2:171507800-171509800::NA::NA,0.7565922,15527
