Hugo_Symbol,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,Silent,Splice_Site,Translation_Start_Site,DEL,INS,SNP,pnum,gene length,silent,nonsense,splice site,missense,recurrent missense,normalized missense position entropy,frameshift indel,inframe indel,normalized mutation entropy,Mean Missense MGAEntropy,Mean VEST Score,lost start and stop,missense to silent,non-silent to silent,inactivating p-value,entropy p-value,vest p-value,combined p-value,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,all_mean,all_var,up_mean,up_var,down_mean,down_var,dnam_mean,dnam_var,AAA_ref,AAC_ref,AAG_ref,AAT_ref,ACA_ref,ACC_ref,ACG_ref,ACT_ref,AGA_ref,AGC_ref,AGG_ref,ATA_ref,ATC_ref,ATG_ref,CAA_ref,CAC_ref,CAG_ref,CCA_ref,CCC_ref,CCG_ref,CGA_ref,CGC_ref,CTA_ref,CTC_ref,GAA_ref,GAC_ref,GCA_ref,GCC_ref,GGA_ref,GTA_ref,TAA_ref,TCA_ref,cadd_mean,cadd_var,exp_mean,exp_var,class
AKT3,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0,0.0,0.0,0.0,0.0,8.0,8.0,1440.0,0.0,0.25,0.0,0.75,0.0,1.0,0.0,0.0,0.916666667,0.409102478,0.778125,0.0,6.0,8.0,0.558347292,1.0,0.667111408,0.937156917,17.67265876,954.0,-0.003878738,1.18e-05,12.0,11.3325,3.9324574,13.638,4.451962,-0.195,0.0001805,1.075017038,0.118848424,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2,27.45555556,57.80027778,6.523123565886879,13.268591321632124,1.0
MCL1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1053.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.484334471,0.157,0.0,1.0,1.0,1.0,1.0,0.104777871,0.341147599,20.49291817,152.0,0.03127347,0.00029983,59.0,30.1,17.66557,30.1,17.66557,-9.054254,2.0491246,0.075329188,0.047349577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18.345,51.10605,9.19037155205304,16.733140030231308,1.0
NTRK1,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8.0,8.0,2391.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.073000871,0.4425,0.0,8.0,8.0,0.414593698,0.817744522,0.534473544,0.798810243,20.52208149,208.0,0.04542559,0.055172583,1945.0,7.63,1.7995346,9.8016664,2.0318743,-1.0566667,0.006592333,1.49823057,0.033173019,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,2,0,0,0,20.09511111,81.82229511,2.5603445566406093,8.148770162309411,1.0
BRCA1,3.0,1.0,2.0,0.0,13.0,6.0,0.0,0,2.0,0.0,5.0,1.0,21.0,27.0,5655.0,0.037037037,0.222222222,0.037037037,0.481481481,0.0,1.0,0.148148148,0.074074074,0.688011096,0.846314343,0.762148148,0.0,6.5,13.0,0.00735,1.0,0.543478261,0.874872593,20.48367901,201.0,0.02652095,0.011628643,560.0,-4.925741,3.6087766,6.891538,1.7389921,-15.898928,2.8802525,2.869802435,0.622074648,0,1,0,1,2,2,0,0,6,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,6,23.10483333,100.1284497,6.012976311173504,11.39722256892865,1.0
ERBB2,3.0,0.0,1.0,0.0,29.0,0.0,0.0,0,0.0,0.0,4.0,0.0,29.0,30.0,3768.0,0.0,0.0,0.0,0.878787879,0.424242424,0.769974172,0.090909091,0.03030303,0.764747796,0.544024067,0.678030303,0.0,29.0,33.0,0.992063492,0.0,0.0,2.4e-09,20.29332795,226.0,0.03763767,0.000661984,122.0,15.06477,23.206703,28.35122,31.00705,-7.6329164,2.1271905,0.582238539,0.031967679,0,1,0,0,4,1,3,0,9,0,0,1,0,0,6,1,0,0,0,2,0,0,0,1,0,0,0,2,2,0,0,1,24.78911765,53.81228102,9.729914448261484,21.069497053506023,1.0
PIK3CA,0.0,0.0,15.0,0.0,378.0,0.0,0.0,0,0.0,0.0,15.0,0.0,378.0,352.0,3207.0,0.0,0.0,0.0,0.961832061,0.786259542,0.402808848,0.0,0.038167939,0.388116627,0.263853584,0.876366412,0.0,378.0,393.0,1.0,0.0,0.0,2.4e-09,18.61643864,613.0,0.01079402,0.00023606,52.0,6.0290527,4.6741318,10.167305,6.0827807,-3.133004,0.34402555,0.137584466,0.002863667,5,0,0,2,5,6,5,0,13,2,2,0,3,172,0,1,14,6,2,0,4,0,0,11,8,3,4,0,3,1,1,136,25.73626406,16.38980373,6.437032950417321,13.485687223062936,1.0
ESR1,1.0,0.0,1.0,0.0,7.0,1.0,0.0,0,0.0,0.0,2.0,0.0,8.0,10.0,1788.0,0.0,0.1,0.0,0.7,0.0,1.0,0.1,0.1,0.879588002,0.636996487,0.7731,0.0,7.0,10.0,0.254841998,0.117412234,0.137607139,0.082810135,17.75594769,568.0,-0.000170025,0.007286856,630.0,2.9288888,1.12133995,5.843846,0.9791202,-4.65,0.83418805,0.738638367,0.110418206,0,0,0,0,0,0,1,1,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,2,18.48428571,132.6859339,9.20407358754034,18.60890267751796,1.0
ERBB3,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0,0.0,0.0,0.0,0.0,22.0,20.0,4029.0,0.0,0.0,0.0,1.0,0.136363636,0.951533902,0.0,0.0,0.9311481,0.533495446,0.586590909,0.0,22.0,22.0,0.995024876,0.0,0.00025,5.2e-08,21.36087708,215.0,0.03766619,0.000259141,73.0,4.2127907,2.1491548,9.767037,1.8030034,-5.1599998,1.4000756,0.276108665,0.012103799,0,0,0,0,0,2,2,1,5,1,1,0,0,0,0,0,2,0,0,0,0,0,0,4,1,0,2,1,1,1,0,6,21.26056667,46.55037239,8.881591253532392,16.62163649468998,1.0
BRAF,2.0,0.0,0.0,0.0,6.0,1.0,0.0,0,0.0,0.0,2.0,0.0,7.0,8.0,2301.0,0.0,0.111111111,0.0,0.666666667,0.0,1.0,0.222222222,0.0,0.833333333,0.351618793,0.755555556,0.0,6.0,9.0,1.0,0.0,0.0,2.4e-09,18.21935147,616.0,0.02459647,4.78e-05,42.0,0.4553333,0.6018227,4.94625,0.5038674,-4.677143,0.24016958,0.361775862,0.04376601,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,26.975,23.81357143,5.321109927355431,9.494881558762582,1.0
CDK6,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.0,3.0,981.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.246957388,0.714666667,0.0,3.0,3.0,0.379650721,1.0,0.668002672,0.937517105,19.41218383,464.0,0.02622337,0.000624097,113.0,6.2466666,2.2338562,9.906,1.7880162,-12.05,2.0491246,0.085618898,5.29e-05,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,20.78,14.54075,6.645763570550378,13.69819170297198,1.0
