geneid,score,index_i
enhancers::chr10:113041200-113041800::NA::NA,0.85489607,127
enhancers::chr10:114693600-114694600::NA::NA,0.7891196,146
enhancers::chr10:114919800-114921400::NA::NA,0.92590135,148
enhancers::chr10:123980000-123981400::NA::NA,0.6432657,236
enhancers::chr10:134903400-134904800::NA::NA,0.6909664,310
enhancers::chr10:3157600-3159600::NA::NA,0.6831046,480
enhancers::chr10:32540000-32540800::NA::NA,0.9958603,513
enhancers::chr10:54299800-54301200::NA::NA,0.731573,713
enhancers::chr10:61078200-61080200::NA::NA,0.98350984,784
enhancers::chr10:80091000-80092600::NA::NA,0.9291924,1003
enhancers::chr10:81145400-81155800::NA::NA,0.56432223,1019
enhancers::chr11:102068800-102073000::NA::NA,0.5935808,1303
enhancers::chr11:102073400-102077000::NA::NA,0.5935808,1304
enhancers::chr11:102200800-102201600::NA::NA,0.58524984,1306
enhancers::chr11:102356000-102356800::NA::NA,0.58153695,1311
enhancers::chr11:102447000-102448600::NA::NA,0.55608314,1316
enhancers::chr11:102450600-102451400::NA::NA,0.55608314,1317
enhancers::chr11:17714800-17717000::NA::NA,0.99312204,1688
enhancers::chr11:17819400-17821200::NA::NA,0.91892254,1691
enhancers::chr11:240400-242000::NA::NA,0.9987954,1727
enhancers::chr11:34471200-34473800::NA::NA,0.99997807,1853
enhancers::chr11:4107400-4109200::NA::NA,0.999433,1888
enhancers::chr11:455800-458800::NA::NA,0.80291694,1909
enhancers::chr11:45967000-45967800::NA::NA,0.6117435,1912
enhancers::chr11:45969000-45972000::NA::NA,0.61578953,1913
enhancers::chr11:46393400-46394200::NA::NA,0.5653006,1916
enhancers::chr11:46431400-46433000::NA::NA,0.5810794,1918
enhancers::chr11:46458800-46460400::NA::NA,0.581975,1919
enhancers::chr11:47297800-47299800::NA::NA,0.5647898,1943
enhancers::chr11:47438200-47440400::NA::NA,0.55460167,1953
enhancers::chr11:47455200-47457800::NA::NA,0.5570809,1954
enhancers::chr11:47807400-47808200::NA::NA,0.93139744,1970
enhancers::chr11:59014400-59016000::NA::NA,0.8739818,2052
enhancers::chr11:61553800-61556400::NA::NA,0.56908864,2107
enhancers::chr11:61571600-61572800::NA::NA,0.56908864,2108
enhancers::chr11:62564800-62566600::NA::NA,0.98574567,2129
enhancers::chr11:64602000-64605600::NA::NA,0.9143378,2152
enhancers::chr11:64667200-64669000::NA::NA,0.71660596,2153
enhancers::chr11:66104600-66107800::NA::NA,0.83540905,2195
enhancers::chr11:67098800-67101200::NA::NA,0.5696682,2214
enhancers::chr11:71554800-71555400::NA::NA,0.564805,2278
enhancers::chr11:71716000-71718600::NA::NA,0.56552154,2285
enhancers::chr11:71734400-71736400::NA::NA,0.58082163,2287
enhancers::chr11:72402400-72403600::NA::NA,0.62118214,2295
enhancers::chr11:72411000-72411600::NA::NA,0.5767587,2296
enhancers::chr11:72574000-72575000::NA::NA,0.5814552,2299
enhancers::chr11:73120400-73121000::NA::NA,0.6355966,2301
enhancers::chr11:73583400-73584000::NA::NA,0.6159602,2304
enhancers::chr11:73627200-73628800::NA::NA,0.61801016,2306
enhancers::chr11:73938000-73939600::NA::NA,0.5964407,2309
enhancers::chr11:73999200-73999800::NA::NA,0.5922149,2310
enhancers::chr11:74138200-74138800::NA::NA,0.5547875,2311
enhancers::chr11:74242800-74243600::NA::NA,0.58532363,2314
enhancers::chr11:74643200-74644400::NA::NA,0.5861668,2317
enhancers::chr11:74994400-74995400::NA::NA,0.6383113,2322
enhancers::chr11:75124600-75126400::NA::NA,0.6697247,2323
enhancers::chr11:75495000-75497800::NA::NA,0.6126755,2327
enhancers::chr11:75718000-75719400::NA::NA,0.6774817,2329
enhancers::chr11:75995000-75995600::NA::NA,0.63432735,2330
enhancers::chr11:76804800-76808000::NA::NA,0.6170596,2338
enhancers::chr11:77467800-77468400::NA::NA,0.6014289,2364
enhancers::chr11:77641400-77642200::NA::NA,0.5591054,2368
enhancers::chr11:77843200-77843800::NA::NA,0.7616631,2371
enhancers::chr11:78163000-78163600::NA::NA,0.78210455,2373
enhancers::chr11:78299600-78301400::NA::NA,0.787286,2375
enhancers::chr11:88150800-88155400::NA::NA,0.5637962,2466
enhancers::chr12:1012400-1015800::NA::NA,0.5945612,2607
enhancers::chr12:103817200-103818200::NA::NA,0.9639377,2647
enhancers::chr12:1077400-1078000::NA::NA,0.5928539,2724
enhancers::chr12:1090400-1091000::NA::NA,0.59260494,2738
enhancers::chr12:133121600-133122400::NA::NA,0.99908364,3092
enhancers::chr12:133394600-133398200::NA::NA,0.6777659,3100
enhancers::chr12:21757200-21758000::NA::NA,0.59969324,3255
enhancers::chr12:2907200-2910800::NA::NA,0.6140691,3398
enhancers::chr12:2913200-2915200::NA::NA,0.6524382,3399
enhancers::chr12:3122200-3125400::NA::NA,0.63945746,3416
enhancers::chr12:33469400-33470600::NA::NA,0.70266706,3455
enhancers::chr12:4161600-4162800::NA::NA,0.9941964,3480
enhancers::chr12:51101200-51102400::NA::NA,0.99936146,3624
enhancers::chr12:52468200-52469600::NA::NA,0.575395,3645
enhancers::chr12:54178800-54179400::NA::NA,0.97645617,3670
enhancers::chr12:54334800-54335800::NA::NA,0.98402935,3673
enhancers::chr12:54384400-54387800::NA::NA,0.9945333,3679
enhancers::chr12:54525000-54530200::NA::NA,0.99851245,3689
enhancers::chr12:56165400-56166400::NA::NA,0.9081332,3710
enhancers::chr12:56190800-56192200::NA::NA,0.915422,3711
enhancers::chr12:56216000-56217800::NA::NA,0.579522,3712
enhancers::chr12:56274600-56275800::NA::NA,0.6354946,3714
enhancers::chr12:56386600-56388200::NA::NA,0.6680075,3717
enhancers::chr12:56416600-56418800::NA::NA,0.63577896,3719
enhancers::chr12:56530200-56534800::NA::NA,0.59897876,3722
