geneid,score,index_i
enhancers::chr10:113041200-113041800::NA::NA,0.85489637,127
enhancers::chr10:114693600-114694600::NA::NA,0.7891196,146
enhancers::chr10:114919800-114921400::NA::NA,0.9259015,148
enhancers::chr10:123980000-123981400::NA::NA,0.6432656,236
enhancers::chr10:3157600-3159600::NA::NA,0.6831051,480
enhancers::chr10:32359800-32360800::NA::NA,0.5656195,495
enhancers::chr10:32540000-32540800::NA::NA,0.99540836,513
enhancers::chr10:54299800-54301200::NA::NA,0.73157275,713
enhancers::chr10:61078200-61080200::NA::NA,0.98350984,784
enhancers::chr10:65680200-65682800::NA::NA,0.5943079,840
enhancers::chr10:80091000-80092600::NA::NA,0.9291924,1003
enhancers::chr11:102068800-102073000::NA::NA,0.5935808,1303
enhancers::chr11:102073400-102077000::NA::NA,0.5935808,1304
enhancers::chr11:102200800-102201600::NA::NA,0.58524954,1306
enhancers::chr11:102356000-102356800::NA::NA,0.58153665,1311
enhancers::chr11:102447000-102448600::NA::NA,0.5560831,1316
enhancers::chr11:102450600-102451400::NA::NA,0.6120626,1317
enhancers::chr11:17714800-17717000::NA::NA,0.99312204,1688
enhancers::chr11:17819400-17821200::NA::NA,0.91892236,1691
enhancers::chr11:240400-242000::NA::NA,0.9987954,1727
enhancers::chr11:34471200-34473800::NA::NA,0.99997807,1853
enhancers::chr11:4107400-4109200::NA::NA,0.999433,1888
enhancers::chr11:455800-458800::NA::NA,0.80291754,1909
enhancers::chr11:45967000-45967800::NA::NA,0.6117433,1912
enhancers::chr11:45969000-45972000::NA::NA,0.61578953,1913
enhancers::chr11:46393400-46394200::NA::NA,0.5653004,1916
enhancers::chr11:46431400-46433000::NA::NA,0.58107924,1918
enhancers::chr11:46458800-46460400::NA::NA,0.5819749,1919
enhancers::chr11:46822400-46824200::NA::NA,0.60238826,1931
enhancers::chr11:47307000-47309000::NA::NA,0.55494916,1946
enhancers::chr11:47438200-47440400::NA::NA,0.5546016,1953
enhancers::chr11:47455200-47457800::NA::NA,0.55708086,1954
enhancers::chr11:47807400-47808200::NA::NA,0.93139744,1970
enhancers::chr11:59014400-59016000::NA::NA,0.873982,2052
enhancers::chr11:61553800-61556400::NA::NA,0.56908864,2107
enhancers::chr11:61571600-61572800::NA::NA,0.56908864,2108
enhancers::chr11:62564800-62566600::NA::NA,0.98574567,2129
enhancers::chr11:64602000-64605600::NA::NA,0.9143378,2152
enhancers::chr11:64667200-64669000::NA::NA,0.71660596,2153
enhancers::chr11:66104600-66107800::NA::NA,0.8354092,2195
enhancers::chr11:67098800-67101200::NA::NA,0.5696676,2214
enhancers::chr11:71554800-71555400::NA::NA,0.56480384,2278
enhancers::chr11:71716000-71718600::NA::NA,0.56552124,2285
enhancers::chr11:71734400-71736400::NA::NA,0.5808217,2287
enhancers::chr11:72402400-72403600::NA::NA,0.621182,2295
enhancers::chr11:72411000-72411600::NA::NA,0.62179846,2296
enhancers::chr11:72574000-72575000::NA::NA,0.5814548,2299
enhancers::chr11:73120400-73121000::NA::NA,0.6355965,2301
enhancers::chr11:73583400-73584000::NA::NA,0.61596,2304
enhancers::chr11:73627200-73628800::NA::NA,0.61801,2306
enhancers::chr11:73938000-73939600::NA::NA,0.5964408,2309
enhancers::chr11:73999200-73999800::NA::NA,0.5922149,2310
enhancers::chr11:74138200-74138800::NA::NA,0.5547868,2311
enhancers::chr11:74242800-74243600::NA::NA,0.5853235,2314
enhancers::chr11:74643200-74644400::NA::NA,0.5861667,2317
enhancers::chr11:74994400-74995400::NA::NA,0.6383115,2322
enhancers::chr11:75124600-75126400::NA::NA,0.66760504,2323
enhancers::chr11:75495000-75497800::NA::NA,0.6126753,2327
enhancers::chr11:75718000-75719400::NA::NA,0.62893635,2329
enhancers::chr11:75995000-75995600::NA::NA,0.6343267,2330
enhancers::chr11:76804800-76808000::NA::NA,0.6170597,2338
enhancers::chr11:77467800-77468400::NA::NA,0.60142946,2364
enhancers::chr11:77641400-77642200::NA::NA,0.5591052,2368
enhancers::chr11:77843200-77843800::NA::NA,0.7616629,2371
enhancers::chr11:78163000-78163600::NA::NA,0.7821048,2373
enhancers::chr11:78299600-78301400::NA::NA,0.78728616,2375
enhancers::chr11:88150800-88155400::NA::NA,0.5637959,2466
enhancers::chr12:1012400-1015800::NA::NA,0.5945613,2607
enhancers::chr12:103817200-103818200::NA::NA,0.9639377,2647
enhancers::chr12:1077400-1078000::NA::NA,0.59285384,2724
enhancers::chr12:1090400-1091000::NA::NA,0.5926049,2738
enhancers::chr12:133121600-133122400::NA::NA,0.99908364,3092
enhancers::chr12:133394600-133398200::NA::NA,0.6777637,3100
enhancers::chr12:21757200-21758000::NA::NA,0.5996932,3255
enhancers::chr12:2907200-2910800::NA::NA,0.6140692,3398
enhancers::chr12:2913200-2915200::NA::NA,0.6140692,3399
enhancers::chr12:3122200-3125400::NA::NA,0.6394571,3416
enhancers::chr12:33469400-33470600::NA::NA,0.702667,3455
enhancers::chr12:4161600-4162800::NA::NA,0.99419653,3480
enhancers::chr12:51101200-51102400::NA::NA,0.99936146,3624
enhancers::chr12:54178800-54179400::NA::NA,0.97645617,3670
enhancers::chr12:54334800-54335800::NA::NA,0.98402935,3673
enhancers::chr12:54384400-54387800::NA::NA,0.9945333,3679
enhancers::chr12:54525000-54530200::NA::NA,0.99851245,3689
enhancers::chr12:56165400-56166400::NA::NA,0.9081331,3710
enhancers::chr12:56190800-56192200::NA::NA,0.915422,3711
enhancers::chr12:56216000-56217800::NA::NA,0.5795216,3712
enhancers::chr12:56274600-56275800::NA::NA,0.63549453,3714
enhancers::chr12:56386600-56388200::NA::NA,0.6680075,3717
enhancers::chr12:56416600-56418800::NA::NA,0.6357789,3719
enhancers::chr12:56530200-56534800::NA::NA,0.5989787,3722
enhancers::chr12:56540000-56541800::NA::NA,0.60102654,3724
enhancers::chr12:56557600-56558400::NA::NA,0.60431767,3725
enhancers::chr12:56559000-56559800::NA::NA,0.603502,3726
enhancers::chr12:56561200-56562000::NA::NA,0.603502,3727
enhancers::chr12:56578400-56579000::NA::NA,0.602802,3728
enhancers::chr12:56606200-56606800::NA::NA,0.59182614,3730
enhancers::chr12:56630200-56633200::NA::NA,0.5954569,3733
enhancers::chr12:56664800-56667400::NA::NA,0.61472434,3735
enhancers::chr12:56714800-56716000::NA::NA,0.6605524,3737
enhancers::chr12:56724800-56725400::NA::NA,0.66175187,3738
enhancers::chr12:56729400-56735800::NA::NA,0.6660393,3739
enhancers::chr12:56744600-56745200::NA::NA,0.66236037,3740
enhancers::chr12:56770200-56773000::NA::NA,0.61875826,3743
enhancers::chr12:56779800-56781600::NA::NA,0.6229258,3744
enhancers::chr12:57064400-57066000::NA::NA,0.5600298,3750
enhancers::chr12:57107600-57108600::NA::NA,0.556075,3751
enhancers::chr12:57161400-57163200::NA::NA,0.6117982,3753
enhancers::chr12:57170000-57173400::NA::NA,0.55785024,3754
enhancers::chr12:57174200-57176600::NA::NA,0.5619792,3755
enhancers::chr12:57626200-57633800::NA::NA,0.5873992,3765
enhancers::chr12:57662000-57662800::NA::NA,0.5887817,3767
enhancers::chr12:57923400-57924200::NA::NA,0.64931464,3772
enhancers::chr12:57930600-57934200::NA::NA,0.6502841,3773
enhancers::chr12:58204200-58205000::NA::NA,0.79111254,3775
enhancers::chr12:6373200-6374600::NA::NA,0.56681424,3819
enhancers::chr12:68321200-68323200::NA::NA,0.66671777,3884
enhancers::chr12:70304000-70304800::NA::NA,0.9994267,3933
enhancers::chr12:70992200-70993200::NA::NA,0.7896608,3942
enhancers::chr12:9570800-9571400::NA::NA,0.79778206,4335
enhancers::chr13:100612800-100615000::NA::NA,0.83565617,4412
enhancers::chr13:114112600-114113600::NA::NA,0.8037406,4519
enhancers::chr13:115033600-115034200::NA::NA,0.9293695,4532
enhancers::chr13:115069200-115069800::NA::NA,0.6509746,4533
enhancers::chr14:106095400-106096400::NA::NA,0.9587501,5269
enhancers::chr14:106172200-106173000::NA::NA,0.99830556,5273
enhancers::chr14:106178000-106178600::NA::NA,0.99030346,5274
enhancers::chr14:106321400-106328800::NA::NA,0.99926895,5277
enhancers::chr14:106364800-106369200::NA::NA,0.9216854,5278
enhancers::chr14:106455800-106456400::NA::NA,0.99729013,5283
enhancers::chr14:106589200-106591400::NA::NA,0.9659178,5291
enhancers::chr14:106757200-106758400::NA::NA,0.9984224,5297
enhancers::chr14:20730000-20731200::NA::NA,0.9835527,5304
enhancers::chr14:20856000-20856600::NA::NA,0.8607619,5308
enhancers::chr14:21820000-21821200::NA::NA,0.55501264,5326
enhancers::chr14:24195200-24196000::NA::NA,0.9029461,5380
enhancers::chr14:29348600-29349200::NA::NA,0.98451495,5413
enhancers::chr14:29823600-29825400::NA::NA,0.9976215,5414
enhancers::chr14:30673800-30674600::NA::NA,0.5862282,5419
enhancers::chr14:38874800-38875800::NA::NA,0.96983105,5522
enhancers::chr14:50013200-50014000::NA::NA,0.5732076,5568
enhancers::chr14:50848000-50849000::NA::NA,0.9508772,5576
enhancers::chr14:69291800-69293200::NA::NA,0.69997114,5838
enhancers::chr14:69351200-69353000::NA::NA,0.56874216,5842
enhancers::chr14:74607600-74609800::NA::NA,0.9744275,5883
enhancers::chr14:75964800-75965800::NA::NA,0.9325973,5910
enhancers::chr14:78698600-78699200::NA::NA,0.5889599,5945
enhancers::chr14:97536400-97537600::NA::NA,0.9861755,6077
enhancers::chr15:100824600-100826200::NA::NA,0.9602216,6108
enhancers::chr15:100978800-100980600::NA::NA,0.87845045,6109
enhancers::chr15:101602800-101606000::NA::NA,0.9989843,6112
enhancers::chr15:101702600-101703600::NA::NA,0.99913496,6114
enhancers::chr15:23008000-23010000::NA::NA,0.95457214,6129
enhancers::chr15:34651200-34654400::NA::NA,0.6594392,6200
enhancers::chr15:56005600-56010200::NA::NA,0.6518674,6550
enhancers::chr15:76668400-76670600::NA::NA,0.9996414,6764
enhancers::chr15:77535000-77536200::NA::NA,0.88370746,6775
enhancers::chr15:86285200-86290200::NA::NA,0.99998677,6847
enhancers::chr15:89848400-89849000::NA::NA,0.5708936,6862
enhancers::chr15:89850200-89851200::NA::NA,0.56714666,6863
enhancers::chr15:89864600-89865400::NA::NA,0.57399106,6864
enhancers::chr15:89899200-89900600::NA::NA,0.6002851,6866
enhancers::chr15:89919000-89919600::NA::NA,0.6002851,6869
enhancers::chr15:90771000-90771800::NA::NA,0.9425033,6885
enhancers::chr15:99716000-99717800::NA::NA,0.59085023,6937
enhancers::chr16:11023600-11025600::NA::NA,0.57841104,6960
enhancers::chr16:11802400-11803000::NA::NA,0.5649606,6977
enhancers::chr16:11867800-11868800::NA::NA,0.57090884,6982
enhancers::chr16:11971200-11971800::NA::NA,0.5544136,6986
enhancers::chr16:19867200-19871400::NA::NA,0.97369653,7093
enhancers::chr16:20979200-20981400::NA::NA,0.7745792,7116
enhancers::chr16:2102400-2106000::NA::NA,0.7992323,7117
enhancers::chr16:22324400-22327000::NA::NA,0.9985845,7148
enhancers::chr16:24887600-24888200::NA::NA,0.6833798,7202
enhancers::chr16:26053000-26054600::NA::NA,0.9943731,7218
enhancers::chr16:27225200-27226600::NA::NA,0.6195409,7229
enhancers::chr16:54127000-54128000::NA::NA,0.6662806,7471
enhancers::chr16:56908400-56909400::NA::NA,0.9499773,7511
enhancers::chr16:89713400-89714000::NA::NA,0.9993104,7899
enhancers::chr16:90047200-90047800::NA::NA,0.8501232,7914
enhancers::chr16:9424000-9424800::NA::NA,0.96476626,7927
enhancers::chr17:16277000-16278000::NA::NA,0.73914886,8001
enhancers::chr17:18170000-18171400::NA::NA,0.61866397,8033
enhancers::chr17:18183600-18185200::NA::NA,0.60855085,8034
enhancers::chr17:18204600-18205200::NA::NA,0.5607074,8035
enhancers::chr17:18227600-18229200::NA::NA,0.5831543,8037
enhancers::chr17:18752600-18754400::NA::NA,0.5658107,8042
enhancers::chr17:18780000-18780600::NA::NA,0.5697476,8044
enhancers::chr17:18825800-18826800::NA::NA,0.59666216,8046
enhancers::chr17:2607200-2610200::NA::NA,0.5573796,8093
enhancers::chr17:27415400-27420800::NA::NA,0.7797127,8132
enhancers::chr17:27591200-27591800::NA::NA,0.7163009,8139
enhancers::chr17:27630200-27631000::NA::NA,0.62754464,8140
enhancers::chr17:27900400-27907200::NA::NA,0.58055776,8146
enhancers::chr17:30629000-30632600::NA::NA,0.59606653,8181
enhancers::chr17:30701800-30702600::NA::NA,0.6111492,8183
enhancers::chr17:30778400-30779800::NA::NA,0.6022407,8184
enhancers::chr17:30805000-30805800::NA::NA,0.59559166,8185
enhancers::chr17:30917200-30918800::NA::NA,0.5615079,8187
enhancers::chr17:30920000-30920600::NA::NA,0.5615079,8188
enhancers::chr17:30929200-30930000::NA::NA,0.56287897,8189
enhancers::chr17:30947600-30950000::NA::NA,0.5654298,8190
enhancers::chr17:31068000-31069400::NA::NA,0.56833166,8192
enhancers::chr17:31081600-31082600::NA::NA,0.565069,8193
enhancers::chr17:31096800-31098000::NA::NA,0.565069,8194
enhancers::chr17:33923600-33926200::NA::NA,0.5949615,8207
enhancers::chr17:33953800-33954800::NA::NA,0.5949615,8208
enhancers::chr17:33957200-33959000::NA::NA,0.59384817,8209
enhancers::chr17:33993200-33995000::NA::NA,0.57316005,8210
enhancers::chr17:34043000-34045000::NA::NA,0.5766175,8212
enhancers::chr17:34173000-34175000::NA::NA,0.6006514,8214
enhancers::chr17:34856800-34857400::NA::NA,0.5583949,8222
enhancers::chr17:35465000-35466600::NA::NA,0.57509965,8231
enhancers::chr17:35468200-35469200::NA::NA,0.57509965,8232
enhancers::chr17:35539600-35540400::NA::NA,0.62111264,8233
enhancers::chr17:35684200-35685000::NA::NA,0.63741404,8235
enhancers::chr17:35732800-35733600::NA::NA,0.6449347,8236
enhancers::chr17:35783000-35783600::NA::NA,0.6185753,8238
enhancers::chr17:35806200-35807200::NA::NA,0.62840515,8239
enhancers::chr17:35813800-35815400::NA::NA,0.62840515,8240
enhancers::chr17:35825200-35827000::NA::NA,0.62840515,8241
enhancers::chr17:35970200-35971400::NA::NA,0.6100646,8244
enhancers::chr17:35989000-35989800::NA::NA,0.633167,8245
enhancers::chr17:36017600-36018200::NA::NA,0.62145513,8246
enhancers::chr17:36244200-36244800::NA::NA,0.5866368,8249
enhancers::chr17:36622600-36630000::NA::NA,0.6392265,8252
enhancers::chr17:36764000-36766200::NA::NA,0.6539773,8255
enhancers::chr17:36924800-36925400::NA::NA,0.693589,8259
enhancers::chr17:36934000-36934600::NA::NA,0.693589,8260
enhancers::chr17:36942800-36943400::NA::NA,0.6939437,8261
enhancers::chr17:37722200-37727200::NA::NA,0.73828346,8285
enhancers::chr17:38788600-38789200::NA::NA,0.68799204,8305
enhancers::chr17:39238800-39239400::NA::NA,0.59431654,8310
enhancers::chr17:39523600-39524800::NA::NA,0.6251252,8316
enhancers::chr17:40029000-40029800::NA::NA,0.5806364,8322
enhancers::chr17:40716400-40718000::NA::NA,0.75538313,8357
enhancers::chr17:45710400-45713000::NA::NA,0.5622534,8430
enhancers::chr17:45911600-45914400::NA::NA,0.5804305,8435
enhancers::chr17:46001400-46003200::NA::NA,0.5797825,8436
enhancers::chr17:46058000-46061800::NA::NA,0.57441473,8439
enhancers::chr17:46138000-46139200::NA::NA,0.6438086,8440
enhancers::chr17:46148800-46149800::NA::NA,0.6438086,8444
enhancers::chr17:46199000-46201400::NA::NA,0.6350052,8445
enhancers::chr17:46713600-46716600::NA::NA,0.83812976,8451
enhancers::chr17:46828600-46829200::NA::NA,0.55570316,8452
enhancers::chr17:46928000-46934000::NA::NA,0.60594016,8453
enhancers::chr17:47067600-47072000::NA::NA,0.73171455,8455
enhancers::chr17:48212400-48213600::NA::NA,0.6978379,8471
enhancers::chr17:48528000-48531400::NA::NA,0.70055044,8477
enhancers::chr17:48748000-48751200::NA::NA,0.65929455,8479
enhancers::chr17:48776600-48777400::NA::NA,0.68421596,8481
enhancers::chr17:48883000-48885000::NA::NA,0.66979116,8484
enhancers::chr17:48993800-48996600::NA::NA,0.64719236,8485
enhancers::chr17:49034800-49036200::NA::NA,0.6681437,8486
enhancers::chr17:49038200-49039200::NA::NA,0.67399293,8487
enhancers::chr17:49043200-49045800::NA::NA,0.67415327,8488
enhancers::chr17:49247600-49248800::NA::NA,0.73165417,8494
enhancers::chr17:49255000-49258200::NA::NA,0.74841475,8495
enhancers::chr17:49261800-49262400::NA::NA,0.74841475,8496
enhancers::chr17:49323000-49323800::NA::NA,0.7040197,8498
enhancers::chr17:49352600-49353400::NA::NA,0.7040197,8499
enhancers::chr17:49399600-49400200::NA::NA,0.7040197,8500
enhancers::chr17:53487200-53489000::NA::NA,0.5881032,8531
enhancers::chr17:54972600-54974400::NA::NA,0.5802855,8537
enhancers::chr17:54979200-54981200::NA::NA,0.5802855,8539
enhancers::chr17:55030800-55032600::NA::NA,0.586337,8541
enhancers::chr17:55042000-55043800::NA::NA,0.61192197,8542
enhancers::chr17:55056800-55062600::NA::NA,0.59838426,8543
enhancers::chr17:55078800-55079400::NA::NA,0.5956131,8545
enhancers::chr17:55356000-55362000::NA::NA,0.6626576,8548
enhancers::chr17:55422600-55424000::NA::NA,0.6529137,8549
