geneid,CADD_mean,CADD_var,amp_mean,amp_var,amp_freq,del_mean,del_var,del_freq,abs_mean,abs_var,abs_freq,CSS_mean,CSS_var,freq_Intron,freq_IGR,freq_RNA,freq_Missense_Mutation,freq_3UTR,freq_lincRNA,freq_5Flank,freq_Silent,freq_5UTR,freq_Splice_Site,freq_Nonsense_Mutation,freq_De_novo_Start_OutOfFrame,freq_Frame_Shift_Del,freq_In_Frame_Del,freq_Frame_Shift_Ins,freq_De_novo_Start_InFrame,freq_Start_Codon_SNP,freq_In_Frame_Ins,freq_Nonstop_Mutation,freq_Start_Codon_Del,freq_Stop_Codon_Del,freq_Stop_Codon_Ins,freq_Start_Codon_Ins,freq_SNP,freq_DNP,freq_TNP,freq_DEL,freq_INS,freq_ONP,sample_count_mean,sample_count_var,gc_mean,gc_var,AAA_ref,AAC_ref,AAG_ref,AAT_ref,ACA_ref,ACC_ref,ACG_ref,ACT_ref,AGA_ref,AGC_ref,AGG_ref,ATA_ref,ATC_ref,ATG_ref,CAA_ref,CAC_ref,CAG_ref,CCA_ref,CCC_ref,CCG_ref,CGA_ref,CGC_ref,CTA_ref,CTC_ref,GAA_ref,GAC_ref,GCA_ref,GCC_ref,GGA_ref,GTA_ref,TAA_ref,TCA_ref,exp_mean,exp_var,rep_time,exp_CCLE,label
gc19_pc.promCore::gencode::BRCA1::ENSG00000012048.15,4.867285714285715,12.1023059047619,0.8809524285714286,0.0806877328042857,7.0,-0.8000001333333333,0.0444444222222666,15.0,0.8257576818181819,0.0541726332371796,22.0,0.3153731428571428,0.0322511471071428,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.1666666666666667,0.1666666666666666,0.4397142857142856,0.007086238095238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,201.0,19.99157166815011,1.0
gc19_pc.promCore::gencode::BRCA2::ENSG00000139618.10,0.0,0.0,1.0952382857142855,0.7301585396825715,7.0,-0.97916675,0.1225197658730714,8.0,1.0333334666666667,0.3777776650794095,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464.0,17.064079609123368,1.0
lncrna.ncrna::gencode::EGOT::ENSG00000235947.1,5.419,0.0,1.30666672,1.8927775400000428,25.0,-1.111111,0.148147851852,3.0,1.2857143214285711,1.6972366925338551,28.0,0.556287,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.423,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306.0,17.747052187399223,1.0
lncrna.ncrna::gencode::H19::ENSG00000130600.11,5.302666666666666,50.767660333333325,1.3611111666666666,0.5157406481481667,6.0,-0.8469698181818184,0.0527680696489177,22.0,0.9571429642857144,0.1827041941211468,28.0,0.4663366666666667,0.0151619904523333,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.607,0.018031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,473.0,21.11507286923745,1.0
lncrna.ncrna::gencode::LINC-ROR::ENSG00000258609.1,1.203,0.5646760000000001,0.8333334444444446,0.0416666250000277,9.0,-0.7296297777777778,0.0495678802469444,9.0,0.7814816111111113,0.0457806511256633,18.0,0.5043526666666667,0.0112770719243333,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4693333333333334,0.0020103333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.0,14.194218205175453,1.0
lncrna.ncrna::gencode::LINC00511::ENSG00000227036.2,3.6275517241379314,18.33978101764233,1.5074073999999995,0.7474185222783819,42.0,-0.7857144285714287,0.0806877169312857,7.0,1.410256423076923,0.7161889069884841,47.0,0.482130183908046,0.0328043371222216,0.0,60.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,2.0,0.0,3.0,0.0,0.0,2.090909090909091,5.572938689217758,0.4625326086956523,0.0053921198041089,2.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,17.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,0.0,3.0,2.0,7.0,2.0,2.0,21.0,0.0,0.0,444.0,18.405789652524344,1.0
lncrna.ncrna::gencode::TUG1::ENSG00000253352.4,8.784,0.0,1.83333325,1.4285713333333574,8.0,-1.0,0.222221777778,2.0,1.6666666,1.2592591111111555,10.0,0.327436,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,303.0,21.422743888638458,1.0
mirna_mat::mirbase_mature::hsa-miR-124-3p::MIMAT0000422,0.0,0.0,1.449275434782609,0.7712999385156206,23.0,-0.6666668333333333,0.0333333333333666,6.0,1.2873564137931033,0.7160645478927512,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.0,19.77248855913352,1.0
mirna_mat::mirbase_mature::hsa-miR-124-3p::MIMAT0000422_1,0.0,0.0,0.666667,0.0,1.0,-0.87500005,0.0932016447368921,20.0,0.8650794285714286,0.0906083558201571,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,859.0,14.338945251870552,1.0
mirna_mat::mirbase_mature::hsa-miR-124-3p::MIMAT0000422_2,0.0,0.0,2.0952381428571427,2.721031692063528,21.0,-0.666667,0.0,1.0,2.0303030909090904,2.684223095719134,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1047.0,6.554588851677638,1.0
