geneid,score,index_i
enhancers::chr19:18716200-18720600::NA::NA,0.76559496,9824
enhancers::chr19:19015600-19016600::NA::NA,0.76559496,9828
enhancers::chr19:19017000-19018800::NA::NA,0.76559496,9829
enhancers::chr19:19019800-19021200::NA::NA,0.76559496,9830
enhancers::chr1:162614000-162615000::NA::NA,0.7071916,10920
enhancers::chr1:162618000-162619800::NA::NA,0.7071916,10921
enhancers::chr1:162673200-162680800::NA::NA,0.7071916,10922
enhancers::chr1:162693800-162694800::NA::NA,0.7071916,10923
enhancers::chr1:162710200-162712400::NA::NA,0.7071916,10924
enhancers::chr1:167733800-167734800::NA::NA,0.7071916,10980
enhancers::chr1:167741400-167746800::NA::NA,0.7071916,10981
enhancers::chr1:167751800-167752600::NA::NA,0.7071916,10982
enhancers::chr1:167799000-167799600::NA::NA,0.7071916,10983
enhancers::chr1:167824600-167826200::NA::NA,0.7071916,10985
enhancers::chr1:167829600-167830400::NA::NA,0.7071916,10986
enhancers::chr1:167830800-167832000::NA::NA,0.7071916,10987
enhancers::chr1:167832400-167833200::NA::NA,0.7071916,10988
enhancers::chr1:167833400-167834000::NA::NA,0.7071916,10989
enhancers::chr1:167838400-167839600::NA::NA,0.7071916,10990
enhancers::chr1:167844400-167845000::NA::NA,0.7071916,10991
enhancers::chr1:167868000-167869400::NA::NA,0.7071916,10992
enhancers::chr1:167926600-167927200::NA::NA,0.7071916,10993
enhancers::chr1:167933800-167935800::NA::NA,0.7071916,10994
enhancers::chr1:167966000-167966800::NA::NA,0.7071916,10995
enhancers::chr1:167968000-167969600::NA::NA,0.7071916,10996
enhancers::chr1:168205400-168208800::NA::NA,0.7071916,11002
enhancers::chr1:168344400-168345600::NA::NA,0.7071916,11003
enhancers::chr1:168622200-168622800::NA::NA,0.7227291,11012
enhancers::chr1:168642200-168643400::NA::NA,0.7227291,11013
enhancers::chr1:168645200-168646000::NA::NA,0.7227291,11014
enhancers::chr1:168662400-168666200::NA::NA,0.7227291,11015
enhancers::chr1:168666600-168668600::NA::NA,0.7227291,11016
enhancers::chr1:168669600-168670600::NA::NA,0.7227291,11017
enhancers::chr1:168703400-168704000::NA::NA,0.7227291,11018
enhancers::chr1:168706600-168708200::NA::NA,0.7227291,11019
enhancers::chr1:168735600-168736200::NA::NA,0.7227291,11020
enhancers::chr1:168741800-168742600::NA::NA,0.7227291,11022
enhancers::chr1:168752400-168754200::NA::NA,0.7227291,11023
enhancers::chr1:168761600-168762800::NA::NA,0.7227291,11024
enhancers::chr1:168793200-168794000::NA::NA,0.7227291,11026
enhancers::chr1:168795200-168796000::NA::NA,0.7227291,11027
enhancers::chr1:168800800-168803800::NA::NA,0.7227291,11028
enhancers::chr1:168817000-168818600::NA::NA,0.7227291,11029
enhancers::chr1:168830600-168831400::NA::NA,0.7227291,11030
enhancers::chr1:168832200-168833800::NA::NA,0.7227291,11031
enhancers::chr1:168837000-168838000::NA::NA,0.7227291,11032
enhancers::chr1:168891200-168891800::NA::NA,0.7227291,11033
enhancers::chr1:168892600-168893800::NA::NA,0.7227291,11034
enhancers::chr1:168907800-168909400::NA::NA,0.7227291,11036
enhancers::chr1:168914800-168915600::NA::NA,0.7227291,11037
enhancers::chr1:168927400-168930000::NA::NA,0.7227291,11038
enhancers::chr1:168942000-168943000::NA::NA,0.7227291,11039
enhancers::chr1:168948600-168949200::NA::NA,0.7227291,11040
