geneid,score,index_i
enhancers::chr10:134559800-134562400::NA::NA,0.45588902,308
enhancers::chr10:134577200-134580200::NA::NA,0.41091734,309
enhancers::chr10:38154600-38155800::NA::NA,0.39693904,582
enhancers::chr10:42983400-42984000::NA::NA,0.39693904,598
enhancers::chr14:106282600-106286800::NA::NA,0.45785058,5275
enhancers::chr14:106296400-106297200::NA::NA,0.50846064,5276
enhancers::chr15:101602800-101606000::NA::NA,0.41091734,6112
enhancers::chr15:101687800-101691800::NA::NA,0.48006445,6113
enhancers::chr15:102204800-102205400::NA::NA,0.41091734,6119
enhancers::chr15:102250600-102251400::NA::NA,0.41091734,6120
enhancers::chr15:102251800-102252600::NA::NA,0.41091734,6121
enhancers::chr17:52938000-52939000::NA::NA,0.40013248,8512
enhancers::chr17:593200-601800::NA::NA,0.38923973,8623
enhancers::chr17:78873200-78877000::NA::NA,0.41091734,8911
enhancers::chr18:14188400-14189000::NA::NA,0.5466122,9057
enhancers::chr18:19075000-19075800::NA::NA,0.41091734,9067
enhancers::chr18:19754000-19755000::NA::NA,0.41091734,9076
enhancers::chr18:77127600-77129200::NA::NA,0.45785058,9604
enhancers::chr18:77901200-77902400::NA::NA,0.45785058,9615
enhancers::chr1:1858800-1861600::NA::NA,0.41091734,11383
enhancers::chr22:18646600-18647600::NA::NA,0.41091734,14351
enhancers::chr5:180402600-180403600::NA::NA,0.45785058,22698
enhancers::chr6:551400-552200::NA::NA,0.398302,25274
enhancers::chr7:158696800-158697600::NA::NA,0.41091734,26302
enhancers::chr7:195400-201600::NA::NA,0.45785058,26380
enhancers::chr7:209200-210600::NA::NA,0.45785058,26411
enhancers::chr7:286800-287800::NA::NA,0.45785058,26528
enhancers::chr7:600200-605600::NA::NA,0.41091734,26819
enhancers::chr7:667800-668400::NA::NA,0.41091734,26891
enhancers::chr9:370800-371600::NA::NA,0.41091734,29419
enhancers::chr9:426200-427400::NA::NA,0.41091734,29437
enhancers::chr9:463000-464400::NA::NA,0.41091734,29443
enhancers::chr9:488400-490600::NA::NA,0.41091734,29449
gc19_pc.3utr::gencode::AC008132.13::ENSG00000161103.7,0.41091734,30964
gc19_pc.3utr::gencode::AC026310.1::ENSG00000268865.1,0.42901757,31006
gc19_pc.3utr::gencode::AC145676.2::ENSG00000249852.1,0.45785058,31078
gc19_pc.3utr::gencode::AL627309.1::ENSG00000237683.5,0.45785058,31533
gc19_pc.3utr::gencode::B4GALNT3::ENSG00000139044.6,0.38923973,32399
gc19_pc.3utr::gencode::BTNL3::ENSG00000168903.8,0.45785058,32713
gc19_pc.3utr::gencode::CALML6::ENSG00000169885.5,0.41091734,33455
gc19_pc.3utr::gencode::CLDN5::ENSG00000184113.8,0.41091734,34412
gc19_pc.3utr::gencode::CTD-2368P22.1::ENSG00000176593.3,0.5262387,35013
gc19_pc.3utr::gencode::DGCR6::ENSG00000183628.8,0.41091734,35493
gc19_pc.3utr::gencode::DOC2B::ENSG00000272636.1,0.45785058,35733
gc19_pc.3utr::gencode::FAM120B::ENSG00000112584.9,0.45785058,36522
gc19_pc.3utr::gencode::FAM20C::ENSG00000177706.8,0.50846064,36655
gc19_pc.3utr::gencode::FRG1::ENSG00000109536.7,0.5466122,37198
gc19_pc.3utr::gencode::GATA6::ENSG00000141448.4,0.45588902,37426
gc19_pc.3utr::gencode::HUS1B::ENSG00000188996.4,0.48954636,38672
gc19_pc.3utr::gencode::INPP5A::ENSG00000068383.14,0.41091734,38979
gc19_pc.3utr::gencode::LMLN::ENSG00000185621.7,0.48006445,40103
gc19_pc.3utr::gencode::METRNL::ENSG00000176845.8,0.41091734,40772
gc19_pc.3utr::gencode::NKX6-2::ENSG00000148826.6,0.41091734,41822
gc19_pc.3utr::gencode::OR11L1::ENSG00000197591.2,0.5466122,42321
gc19_pc.3utr::gencode::OR2W3::ENSG00000238243.2,0.5466122,42386
gc19_pc.3utr::gencode::OR4F16::ENSG00000185097.2,0.5894565,42404
gc19_pc.3utr::gencode::OR4F21::ENSG00000176269.3,0.45785058,42406
gc19_pc.3utr::gencode::OR4F3::ENSG00000230178.1,0.41091734,42408
gc19_pc.3utr::gencode::POTEM::ENSG00000187537.9,0.45785058,43580
gc19_pc.3utr::gencode::PRDM7::ENSG00000126856.9,0.3709708,43798
gc19_pc.3utr::gencode::PRODH::ENSG00000100033.12,0.41091734,43885
gc19_pc.3utr::gencode::RP11-585F1.10::ENSG00000250210.3,0.45785058,45055
gc19_pc.3utr::gencode::RP11-676J12.7::ENSG00000262003.1,0.41091734,45066
gc19_pc.3utr::gencode::RP11-89K11.1::ENSG00000259658.3,0.41091734,45097
gc19_pc.3utr::gencode::SLC6A18::ENSG00000164363.8,0.41091734,46289
gc19_pc.3utr::gencode::SLC6A19::ENSG00000174358.11,0.45588902,46290
gc19_pc.3utr::gencode::TMEM52::ENSG00000178821.8,0.41091734,47968
gc19_pc.3utr::gencode::TRIM58::ENSG00000162722.8,0.5466122,48344
gc19_pc.3utr::gencode::TUBA8::ENSG00000183785.10,0.45588902,48583
gc19_pc.3utr::gencode::USP18::ENSG00000184979.9,0.41091734,48899
gc19_pc.3utr::gencode::WDR60::ENSG00000126870.11,0.41091734,49186
gc19_pc.3utr::gencode::ZDHHC11B::ENSG00000206077.6,0.41091734,49500
gc19_pc.3utr::gencode::ZFP30::ENSG00000120784.11,0.4604839,49542
gc19_pc.3utr::gencode::ZNF135::ENSG00000176293.15,0.5262387,49635
gc19_pc.3utr::gencode::ZNF248::ENSG00000198105.7,0.39693904,49697
gc19_pc.3utr::gencode::ZNF26::ENSG00000198393.3,0.398302,49713
gc19_pc.3utr::gencode::ZNF329::ENSG00000181894.10,0.45785058,49749
gc19_pc.3utr::gencode::ZNF540::ENSG00000171817.12,0.51913613,49878
gc19_pc.3utr::gencode::ZNF596::ENSG00000172748.8,0.45785058,49930
gc19_pc.3utr::gencode::ZNF732::ENSG00000186777.7,0.5894565,50031
gc19_pc.3utr::gencode::ZSCAN1::ENSG00000152467.5,0.4259878,50148
gc19_pc.5utr::gencode::AC008132.13::ENSG00000161103.7,0.41091734,50337
gc19_pc.5utr::gencode::AC026310.1::ENSG00000268865.1,0.48056698,50380
gc19_pc.5utr::gencode::AC139100.2::ENSG00000267270.1,0.52781904,50447
gc19_pc.5utr::gencode::AC145676.2::ENSG00000249852.1,0.45785058,50451
gc19_pc.5utr::gencode::AL627309.1::ENSG00000237683.5,0.45785058,50901
gc19_pc.5utr::gencode::BTNL3::ENSG00000168903.8,0.45785058,52074
gc19_pc.5utr::gencode::CALML6::ENSG00000169885.5,0.41091734,52797
gc19_pc.5utr::gencode::CTD-2368P22.1::ENSG00000176593.3,0.5262387,54350
gc19_pc.5utr::gencode::DGCR6::ENSG00000183628.8,0.41091734,54827
gc19_pc.5utr::gencode::DOC2B::ENSG00000272636.1,0.45785058,55064
gc19_pc.5utr::gencode::FBRSL1::ENSG00000112787.8,0.45588902,56169
gc19_pc.5utr::gencode::FRG1::ENSG00000109536.7,0.5466122,56516
gc19_pc.5utr::gencode::GATA6::ENSG00000141448.4,0.41091734,56739
gc19_pc.5utr::gencode::HUS1B::ENSG00000188996.4,0.48954636,57967
gc19_pc.5utr::gencode::METRNL::ENSG00000176845.8,0.45588902,60041
gc19_pc.5utr::gencode::NFATC1::ENSG00000131196.13,0.45785058,60987
gc19_pc.5utr::gencode::NIPA1::ENSG00000170113.11,0.45588902,61045
gc19_pc.5utr::gencode::NKX6-2::ENSG00000148826.6,0.41091734,61083
gc19_pc.5utr::gencode::OR11L1::ENSG00000197591.2,0.5466122,61578
gc19_pc.5utr::gencode::OR2W3::ENSG00000238243.2,0.5466122,61643
gc19_pc.5utr::gencode::OR4F16::ENSG00000185097.2,0.5894565,61661
gc19_pc.5utr::gencode::OR4F21::ENSG00000176269.3,0.45785058,61663
gc19_pc.5utr::gencode::OR4F3::ENSG00000230178.1,0.41091734,61665
gc19_pc.5utr::gencode::PRDM7::ENSG00000126856.9,0.38923973,63014
gc19_pc.5utr::gencode::PRODH::ENSG00000100033.12,0.41091734,63101
gc19_pc.5utr::gencode::RALGAPA2::ENSG00000188559.9,0.42033562,63593
gc19_pc.5utr::gencode::RP11-1055B8.6::ENSG00000263053.3,0.48006445,64147
gc19_pc.5utr::gencode::RP11-585F1.10::ENSG00000250210.3,0.45785058,64269
gc19_pc.5utr::gencode::RP11-676J12.7::ENSG00000262003.1,0.41091734,64281
gc19_pc.5utr::gencode::RP11-89K11.1::ENSG00000259658.3,0.4607485,64314
gc19_pc.5utr::gencode::SLC6A18::ENSG00000164363.8,0.41091734,65501
gc19_pc.5utr::gencode::SLC6A19::ENSG00000174358.11,0.41091734,65502
gc19_pc.5utr::gencode::TARSL2::ENSG00000185418.11,0.41091734,66482
gc19_pc.5utr::gencode::TMEM105::ENSG00000185332.2,0.4607485,66981
gc19_pc.5utr::gencode::TMEM52::ENSG00000178821.8,0.41091734,67170
gc19_pc.5utr::gencode::TRIM58::ENSG00000162722.8,0.5466122,67543
gc19_pc.5utr::gencode::USP18::ENSG00000184979.9,0.41091734,68091
gc19_pc.5utr::gencode::WDR60::ENSG00000126870.11,0.41091734,68374
gc19_pc.5utr::gencode::ZNF135::ENSG00000176293.15,0.5262387,68823
gc19_pc.5utr::gencode::ZNF248::ENSG00000198105.7,0.39693904,68885
gc19_pc.5utr::gencode::ZNF26::ENSG00000198393.3,0.398302,68901
gc19_pc.5utr::gencode::ZNF274::ENSG00000171606.13,0.45785058,68903
gc19_pc.5utr::gencode::ZNF33B::ENSG00000196693.10,0.46559313,68946
gc19_pc.5utr::gencode::ZNF519::ENSG00000175322.7,0.5466122,69053
gc19_pc.5utr::gencode::ZNF571::ENSG00000180479.9,0.62783784,69092
gc19_pc.5utr::gencode::ZNF596::ENSG00000172748.8,0.5035679,69117
gc19_pc.5utr::gencode::ZNF605::ENSG00000196458.6,0.398302,69122
gc19_pc.5utr::gencode::ZNF606::ENSG00000166704.7,0.5262387,69123
gc19_pc.5utr::gencode::ZNF732::ENSG00000186777.7,0.5894565,69220
gc19_pc.5utr::gencode::ZSCAN1::ENSG00000152467.5,0.5763716,69339
gc19_pc.promCore::gencode::AC008132.13::ENSG00000161103.7,0.41091734,69556
gc19_pc.promCore::gencode::AC026310.1::ENSG00000268865.1,0.48056698,69657
gc19_pc.promCore::gencode::AC139100.2::ENSG00000267270.1,0.52781904,69796
gc19_pc.promCore::gencode::AC145676.2::ENSG00000249852.1,0.50846064,69803
gc19_pc.promCore::gencode::AL627309.1::ENSG00000237683.5,0.45785058,70330
gc19_pc.promCore::gencode::B3GNTL1::ENSG00000175711.4,0.387628,71236
gc19_pc.promCore::gencode::BTNL3::ENSG00000168903.8,0.45785058,71556
gc19_pc.promCore::gencode::BTNL9::ENSG00000165810.12,0.45785058,71558
gc19_pc.promCore::gencode::CALML6::ENSG00000169885.5,0.41091734,72309
gc19_pc.promCore::gencode::CTD-2368P22.1::ENSG00000176593.3,0.5262387,73897
gc19_pc.promCore::gencode::DGCR6::ENSG00000183628.8,0.41091734,74398
gc19_pc.promCore::gencode::DOC2B::ENSG00000272636.1,0.45785058,74640
gc19_pc.promCore::gencode::EXOC2::ENSG00000112685.9,0.48954636,75320
gc19_pc.promCore::gencode::FBRSL1::ENSG00000112787.8,0.45588902,75759
gc19_pc.promCore::gencode::FRG1::ENSG00000109536.7,0.5466122,76119
gc19_pc.promCore::gencode::GATA6::ENSG00000141448.4,0.41091734,76349
gc19_pc.promCore::gencode::HUS1B::ENSG00000188996.4,0.48954636,77630
gc19_pc.promCore::gencode::MUC8::ENSG00000269676.1,0.48006445,80330
gc19_pc.promCore::gencode::NFATC1::ENSG00000131196.13,0.45785058,80743
gc19_pc.promCore::gencode::NIPA1::ENSG00000170113.11,0.45588902,80803
gc19_pc.promCore::gencode::NKX6-2::ENSG00000148826.6,0.41091734,80843
gc19_pc.promCore::gencode::OR11L1::ENSG00000197591.2,0.5466122,81368
gc19_pc.promCore::gencode::OR2AJ1::ENSG00000177275.3,0.5466122,81427
gc19_pc.promCore::gencode::OR2T8::ENSG00000177462.6,0.5466122,81476
gc19_pc.promCore::gencode::OR2W3::ENSG00000238243.2,0.446135,81480
gc19_pc.promCore::gencode::OR4F16::ENSG00000185097.2,0.5894565,81509
gc19_pc.promCore::gencode::OR4F21::ENSG00000176269.3,0.45785058,81511
gc19_pc.promCore::gencode::OR4F3::ENSG00000230178.1,0.41091734,81513
gc19_pc.promCore::gencode::PRDM7::ENSG00000126856.9,0.38923973,82996
gc19_pc.promCore::gencode::PRODH::ENSG00000100033.12,0.41091734,83089
gc19_pc.promCore::gencode::RP11-1055B8.6::ENSG00000263053.3,0.41091734,84156
gc19_pc.promCore::gencode::RP11-585F1.10::ENSG00000250210.3,0.45785058,84306
gc19_pc.promCore::gencode::RP11-676J12.7::ENSG00000262003.1,0.41091734,84322
gc19_pc.promCore::gencode::RP11-89K11.1::ENSG00000259658.3,0.4607485,84359
gc19_pc.promCore::gencode::SLC6A18::ENSG00000164363.8,0.41091734,85577
gc19_pc.promCore::gencode::SLC6A19::ENSG00000174358.11,0.41091734,85578
gc19_pc.promCore::gencode::TARSL2::ENSG00000185418.11,0.41091734,86576
gc19_pc.promCore::gencode::TMEM105::ENSG00000185332.2,0.41091734,87086
gc19_pc.promCore::gencode::TMEM52::ENSG00000178821.8,0.41091734,87280
gc19_pc.promCore::gencode::TRIM58::ENSG00000162722.8,0.5466122,87659
gc19_pc.promCore::gencode::USP18::ENSG00000184979.9,0.41091734,88239
gc19_pc.promCore::gencode::ZDHHC11B::ENSG00000206077.6,0.41091734,88842
