geneid,score
enhancers::chr2:15710200-15711000::NA::NA,0.99738497
enhancers::chr2:15772600-15777600::NA::NA,0.99738497
enhancers::chr2:15792800-15793400::NA::NA,0.99738497
enhancers::chr2:16014000-16014600::NA::NA,0.994262
enhancers::chr2:16028800-16032600::NA::NA,0.994262
enhancers::chr3:78304800-78306000::NA::NA,0.9992085
enhancers::chr5:111332400-111335800::NA::NA,0.99897885
enhancers::chr7:98619600-98620200::NA::NA,0.9936706
enhancers::chr8:107657200-107658200::NA::NA,0.997062
enhancers::chr9:2048800-2050400::NA::NA,0.9998259
gc19_pc.3utr::gencode::ADAMTS18::ENSG00000140873.11,1.0
gc19_pc.3utr::gencode::CNBD1::ENSG00000176571.7,1.0
gc19_pc.3utr::gencode::DDX1::ENSG00000079785.10,0.99738497
gc19_pc.3utr::gencode::GABBR1::ENSG00000204681.6,0.9999893
gc19_pc.3utr::gencode::SLITRK6::ENSG00000184564.8,0.994693
gc19_pc.3utr::gencode::TRIM22::ENSG00000132274.11,0.99775773
gc19_pc.5utr::gencode::ALDH1L1::ENSG00000144908.9,1.0
gc19_pc.5utr::gencode::ASB5::ENSG00000164122.4,1.0
gc19_pc.5utr::gencode::BCOR::ENSG00000183337.12,1.0
gc19_pc.5utr::gencode::CDK14::ENSG00000058091.12,0.99999976
gc19_pc.5utr::gencode::DDX1::ENSG00000079785.10,0.99738497
gc19_pc.5utr::gencode::DIO2::ENSG00000211448.7,1.0
gc19_pc.5utr::gencode::EPB41L3::ENSG00000082397.11,0.9992409
gc19_pc.5utr::gencode::FAM200A::ENSG00000221909.2,1.0
gc19_pc.5utr::gencode::FGF13::ENSG00000129682.9,1.0
gc19_pc.5utr::gencode::FPR2::ENSG00000171049.8,0.9987801
gc19_pc.5utr::gencode::HHLA1::ENSG00000132297.7,0.9998758
gc19_pc.5utr::gencode::KCNK2::ENSG00000082482.9,1.0
gc19_pc.5utr::gencode::LRRK2::ENSG00000188906.9,1.0
gc19_pc.5utr::gencode::LRRTM4::ENSG00000176204.9,1.0
