Hugo_Symbol,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,Silent,Splice_Site,Translation_Start_Site,DEL,INS,SNP,pnum,gene length,silent,nonsense,splice site,missense,recurrent missense,normalized missense position entropy,frameshift indel,inframe indel,normalized mutation entropy,Mean Missense MGAEntropy,Mean VEST Score,lost start and stop,missense to silent,non-silent to silent,inactivating p-value,entropy p-value,vest p-value,combined p-value,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,all_mean,all_var,up_mean,up_var,down_mean,down_var,dnam_mean,dnam_var,AAA_ref,AAC_ref,AAG_ref,AAT_ref,ACA_ref,ACC_ref,ACG_ref,ACT_ref,AGA_ref,AGC_ref,AGG_ref,ATA_ref,ATC_ref,ATG_ref,CAA_ref,CAC_ref,CAG_ref,CCA_ref,CCC_ref,CCG_ref,CGA_ref,CGC_ref,CTA_ref,CTC_ref,GAA_ref,GAC_ref,GCA_ref,GCC_ref,GGA_ref,GTA_ref,TAA_ref,TCA_ref,cadd_mean,cadd_var,exp_mean,exp_var,class
NTRK1,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,5.0,2391.0,0.0,0.0,0.0,0.875,0.0,1.0,0.0,0.125,1.0,0.92518687,0.526,0.0,7.0,8.0,0.414593698,0.817744522,0.534473544,0.798810243,20.52208149,208.0,0.04542559,0.055172583,1945.0,1.5731249,0.034580493,1.8314285,0.034081205,-0.235,0.0009245,1.603916279,0.005532961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,23.078000000000003,68.6411062857143,2.5554171786651163,5.797530146630746,1.0
RAD54L,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2244.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.296184329,0.418,0.0,2.0,2.0,0.55157198,1.0,0.53561864,0.870022959,19.39722255,205.0,0.03108991,3.05e-07,2.0,0.975,0.009133667,0.975,0.009133667,-4.1961275,1.8963093,0.040224184,8.45e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.83333333333333,11.60333333333334,3.622966742422373,7.880510539632671,1.0
ATM,4.0,0.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,15.0,20.0,9171.0,0.0,0.0,0.0,0.75,0.0,1.0,0.2,0.05,0.884310893,0.510787855,0.77465,0.0,15.0,20.0,0.0,0.00059,0.0,1.18e-07,18.66565965,582.0,0.01619721,0.001447922,135.0,2.6602382,0.90490645,3.44725,0.7361018,-13.08,3.1903375,0.115296598,0.000380039,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,25.376666666666672,36.55168235294119,6.864095515179075,11.93171257994806,1.0
BARD1,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2334.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.977677023,0.175,0.0,4.0,4.0,0.476190476,1.0,0.668449198,0.937697112,18.24596904,948.0,0.01111842,0.001704276,256.0,2.8122222,0.19351369,2.8122222,0.19351369,-4.1961275,1.8963093,0.49836633,0.053443663,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,13.5374,147.29725080000003,4.131242886223847,8.117695363747515,1.0
BRCA1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5655.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.906124484,0.085,0.0,1.0,1.0,0.00735,1.0,0.543478261,0.874872593,20.48367901,201.0,0.02652095,0.011628643,560.0,32.805,21.681112,65.73,0.46620118,-0.12,1.8963093,2.571374425,0.022538992,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.4750000000000005,49.49898099999999,4.835040316529742,8.902656570331454,1.0
BRIP1,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3750.0,0.0,0.333333333,0.0,0.666666667,0.0,1.0,0.0,0.0,1.0,1.155713189,0.458,0.0,2.0,3.0,0.947867299,1.0,0.331455088,0.697468664,18.31609278,412.0,-0.0093023,3.64e-05,17.0,6.565,1.6291343,6.565,1.6291343,-4.1961275,1.8963093,0.148138999,0.004715961,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.234333333333336,279.0489363333333,3.1127864739899627,7.002239976671509,1.0
CDK12,4.0,2.0,0.0,0.0,5.0,3.0,0.0,0.0,1.0,0.0,4.0,2.0,9.0,9.0,4473.0,0.0,0.2,0.066666667,0.333333333,0.0,1.0,0.4,0.0,0.433150564,0.489755061,0.864,0.0,5.0,15.0,0.06345983,1.0,0.022261799,0.106965341,20.42632926,239.0,0.02758249,0.000148843,25.0,1.6953334,0.8143139,4.7836844,0.9692758,-3.6390908,0.12257649,0.473546127,0.022538992,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,2.0,27.634545454545457,86.25376727272729,7.103717566361636,14.058540460337374,1.0
ATR,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,7935.0,0.0,0.333333333,0.0,0.666666667,0.0,1.0,0.0,0.0,1.0,1.432753851,0.475333333,0.0,2.0,3.0,0.630119723,1.0,0.018781106,0.093434199,19.10726791,403.0,0.0237615,0.000313304,97.0,1.6433334,0.041354666,1.99,0.04268,-0.09,1.8963093,0.060011041,5.69e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.042,105.81317,6.524843678134765,11.612779032261727,1.0
MLH1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2271.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.53828994,0.8665,0.0,2.0,2.0,0.019788266,1.0,0.841750842,0.986760287,18.5833748,473.0,0.02126238,0.00105292,125.0,1.365,0.024465,1.8333333,0.023537333,-0.04,1.8963093,0.360339383,0.049931715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.45,61.60500000000002,6.705797185047833,9.8882261654633,1.0
BRAF,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,7.0,2301.0,0.0,0.0,0.0,0.857142857,0.0,1.0,0.0,0.142857143,0.898226518,0.257441473,0.916428571,0.0,6.0,7.0,1.0,0.0,0.0,2.4e-09,18.21935147,616.0,0.02459647,4.78e-05,42.0,3.2771427,0.18677221,3.2771427,0.18677221,-4.1961275,1.8963093,0.287446983,0.000516183,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,27.516666666666666,10.513666666666666,5.360516883794245,9.347672003697705,1.0
