geneid,score
enhancers::chr10:33311200-33312000::NA::NA,0.68064374
enhancers::chr12:41830000-41832800::NA::NA,0.68731904
enhancers::chr12:63365400-63366200::NA::NA,0.6824842
enhancers::chr12:68914800-68916800::NA::NA,0.6649027
enhancers::chr12:68923200-68925400::NA::NA,0.66857016
enhancers::chr12:69362400-69363000::NA::NA,0.6844397
enhancers::chr12:80446200-80447400::NA::NA,0.68400115
enhancers::chr19:13780800-13782200::NA::NA,0.7011559
enhancers::chr1:172937400-172938800::NA::NA,0.67169505
enhancers::chr1:45112200-45116600::NA::NA,0.68602777
enhancers::chr22:17929800-17931000::NA::NA,0.6904839
enhancers::chr22:31337600-31345800::NA::NA,0.6707553
enhancers::chr2:189677400-189679200::NA::NA,0.6624682
enhancers::chr2:197112200-197116400::NA::NA,0.66670984
enhancers::chr3:111550600-111551200::NA::NA,0.68170136
enhancers::chr3:86863200-86865600::NA::NA,0.69039506
enhancers::chr5:130588400-130598200::NA::NA,0.661129
enhancers::chr5:132564400-132568800::NA::NA,0.66122186
enhancers::chr5:137372200-137375600::NA::NA,0.6857019
enhancers::chr5:139859800-139862200::NA::NA,0.6839959
enhancers::chr5:142850600-142851800::NA::NA,0.69729185
enhancers::chr5:40991000-40993800::NA::NA,0.68390125
enhancers::chr7:55565400-55566600::NA::NA,0.6831171
enhancers::chr7:73928400-73929200::NA::NA,0.66911215
enhancers::chr9:103436200-103438000::NA::NA,0.6778993
enhancers::chr9:27765400-27766400::NA::NA,0.68991673
enhancers::chrX:135213000-135213600::NA::NA,0.672544
enhancers::chrX:135357200-135358400::NA::NA,0.672544
enhancers::chrX:135539600-135540600::NA::NA,0.67851144
enhancers::chrX:146957200-146958000::NA::NA,0.67307484
enhancers::chrX:146965800-146967200::NA::NA,0.67307484
enhancers::chrX:146975800-146976400::NA::NA,0.67307484
enhancers::chrX:147039400-147040400::NA::NA,0.68951195
enhancers::chrX:147952000-147953800::NA::NA,0.68675345
enhancers::chrX:147995200-147996800::NA::NA,0.71167797
enhancers::chrX:148067000-148069600::NA::NA,0.71167797
enhancers::chrX:148394200-148394800::NA::NA,0.7083635
enhancers::chrX:148446000-148447200::NA::NA,0.7083635
enhancers::chrX:148573200-148580000::NA::NA,0.7223384
enhancers::chrX:149204000-149205600::NA::NA,0.7170247
enhancers::chrX:149367200-149368200::NA::NA,0.7170247
enhancers::chrX:149368800-149370000::NA::NA,0.7170247
enhancers::chrX:149436800-149437400::NA::NA,0.71167797
enhancers::chrX:149438200-149439400::NA::NA,0.71167797
enhancers::chrX:150110200-150112000::NA::NA,0.68964577
enhancers::chrX:150555000-150556000::NA::NA,0.69990337
enhancers::chrX:16229200-16230600::NA::NA,0.6911973
enhancers::chrX:24675200-24677200::NA::NA,0.6638941
enhancers::chrX:24690600-24692000::NA::NA,0.6638941
gc19_pc.3utr::gencode::CCDC160::ENSG00000203952.5,0.6834957
gc19_pc.3utr::gencode::CT45A2::ENSG00000242185.3,0.6938253
gc19_pc.3utr::gencode::CT45A3::ENSG00000232417.5,0.6938253
gc19_pc.3utr::gencode::CT45A4::ENSG00000228836.4,0.698428
gc19_pc.3utr::gencode::CT45A5::ENSG00000242284.3,0.6938253
gc19_pc.3utr::gencode::CT45A6::ENSG00000226907.4,0.6938253
gc19_pc.3utr::gencode::CXorf40A::ENSG00000197620.6,0.7170247
gc19_pc.3utr::gencode::CXorf40B::ENSG00000197021.4,0.7170247
gc19_pc.3utr::gencode::CXorf48::ENSG00000169551.8,0.6938253
gc19_pc.3utr::gencode::FGF2::ENSG00000138685.8,0.6720742
gc19_pc.3utr::gencode::GPR112::ENSG00000156920.6,0.67554903
gc19_pc.3utr::gencode::GPR50::ENSG00000102195.7,0.7049054
gc19_pc.3utr::gencode::HMGB3::ENSG00000029993.10,0.68964577
gc19_pc.3utr::gencode::HSFX1::ENSG00000171116.7,0.7170247
gc19_pc.3utr::gencode::HSFX2::ENSG00000171129.7,0.7170247
gc19_pc.3utr::gencode::IDS::ENSG00000241489.3,0.7170247
gc19_pc.3utr::gencode::MAGEA9::ENSG00000166008.5,0.7170247
gc19_pc.3utr::gencode::MAGEA9B::ENSG00000123584.7,0.7170247
gc19_pc.3utr::gencode::MAMLD1::ENSG00000013619.9,0.7105573
gc19_pc.3utr::gencode::NOTCH3::ENSG00000074181.4,0.6849062
gc19_pc.3utr::gencode::PASD1::ENSG00000166049.10,0.6634665
gc19_pc.3utr::gencode::PCYT1B::ENSG00000102230.9,0.699109
gc19_pc.3utr::gencode::PDCD5::ENSG00000105185.7,0.6640009
gc19_pc.3utr::gencode::PSMD8::ENSG00000099341.7,0.66143453
gc19_pc.3utr::gencode::RP11-738G5.2::ENSG00000253206.1,0.6609666
gc19_pc.3utr::gencode::RPH3AL::ENSG00000181031.11,0.7178724
gc19_pc.3utr::gencode::SAGE1::ENSG00000181433.5,0.6938253
