geneid,score
enhancers::chr10:21472000-21474400::NA::NA,0.99973756
enhancers::chr10:21703600-21704200::NA::NA,0.9998361
enhancers::chr10:21768600-21769200::NA::NA,0.9998361
enhancers::chr10:23803000-23803800::NA::NA,0.9998529
enhancers::chr10:23845600-23846600::NA::NA,0.9998331
enhancers::chr10:24269000-24269600::NA::NA,0.9999496
enhancers::chr10:24270600-24271400::NA::NA,0.9999145
enhancers::chr10:24283600-24284200::NA::NA,0.9999145
enhancers::chr10:25026000-25026600::NA::NA,0.99984777
enhancers::chr10:25048200-25049000::NA::NA,0.9998914
enhancers::chr10:25079400-25081400::NA::NA,0.9998522
enhancers::chr10:25227200-25227800::NA::NA,0.999843
enhancers::chr10:25251400-25253000::NA::NA,0.999843
enhancers::chr10:25258400-25259400::NA::NA,0.999843
enhancers::chr10:25325400-25326000::NA::NA,0.9998816
enhancers::chr10:26046600-26047600::NA::NA,0.9999362
enhancers::chr11:10071200-10071800::NA::NA,0.99998605
enhancers::chr11:10108400-10109400::NA::NA,0.9999856
enhancers::chr11:10136000-10137000::NA::NA,0.9999856
enhancers::chr11:10182200-10183600::NA::NA,0.9999845
enhancers::chr11:10185000-10186200::NA::NA,0.9999856
enhancers::chr11:10230200-10231400::NA::NA,0.99998593
enhancers::chr11:10352200-10353400::NA::NA,0.99998546
enhancers::chr11:10497800-10502800::NA::NA,0.9999944
enhancers::chr11:10519000-10519800::NA::NA,0.99998677
enhancers::chr11:10548000-10551600::NA::NA,0.99998677
enhancers::chr11:10736800-10738600::NA::NA,0.999987
enhancers::chr11:76954200-76954800::NA::NA,0.999964
enhancers::chr11:76980600-76981200::NA::NA,0.999964
enhancers::chr11:76989600-76990600::NA::NA,0.999964
enhancers::chr11:76998600-76999400::NA::NA,0.999964
enhancers::chr11:77056600-77057600::NA::NA,0.99996316
enhancers::chr11:77061600-77063200::NA::NA,0.99996316
enhancers::chr11:77190200-77191200::NA::NA,0.9999875
enhancers::chr11:77198400-77199400::NA::NA,0.9999875
enhancers::chr11:77225600-77227000::NA::NA,0.9999865
enhancers::chr11:77269400-77272600::NA::NA,0.9999924
enhancers::chr11:77279000-77280800::NA::NA,0.9999924
enhancers::chr11:77281600-77282400::NA::NA,0.9999924
enhancers::chr11:77285200-77287000::NA::NA,0.9999927
enhancers::chr11:77355400-77356000::NA::NA,0.9999919
enhancers::chr11:77360600-77361800::NA::NA,0.9999919
enhancers::chr11:77382800-77383800::NA::NA,0.9999864
enhancers::chr11:77387400-77388000::NA::NA,0.9999877
enhancers::chr11:77421600-77422200::NA::NA,0.9999876
enhancers::chr11:77437600-77438400::NA::NA,0.9999876
enhancers::chr11:77467800-77468400::NA::NA,0.9999876
enhancers::chr12:68778800-68779800::NA::NA,0.9999385
enhancers::chr12:68872800-68878000::NA::NA,0.99992526
enhancers::chr12:68889200-68891600::NA::NA,0.99986565
enhancers::chr12:68903600-68905000::NA::NA,0.9999206
enhancers::chr12:68914800-68916800::NA::NA,0.9999206
enhancers::chr12:68923200-68925400::NA::NA,0.9999206
enhancers::chr12:68959000-68959800::NA::NA,0.999879
enhancers::chr12:68962400-68963200::NA::NA,0.999879
enhancers::chr12:68965800-68967200::NA::NA,0.999887
enhancers::chr12:68971200-68973200::NA::NA,0.999879
enhancers::chr12:68974400-68975000::NA::NA,0.999879
enhancers::chr12:69220800-69221600::NA::NA,0.99993694
enhancers::chr12:69283600-69286200::NA::NA,0.99993694
enhancers::chr12:69289800-69292800::NA::NA,0.99993885
enhancers::chr12:69306600-69307600::NA::NA,0.99993837
enhancers::chr12:69362400-69363000::NA::NA,0.9999614
enhancers::chr12:69421200-69423200::NA::NA,0.99993455
enhancers::chr12:69484600-69485800::NA::NA,0.9999242
enhancers::chr12:69517200-69518600::NA::NA,0.9999218
enhancers::chr12:69523200-69523800::NA::NA,0.9999504
enhancers::chr12:69542800-69545600::NA::NA,0.9999504
enhancers::chr12:69555400-69556400::NA::NA,0.9999504
enhancers::chr12:69561000-69563000::NA::NA,0.9999504
enhancers::chr12:69572400-69573000::NA::NA,0.9999504
enhancers::chr12:69731200-69740000::NA::NA,0.99989223
enhancers::chr12:69816800-69817400::NA::NA,0.99994063
enhancers::chr12:69819200-69819800::NA::NA,0.99994063
enhancers::chr12:69822200-69824000::NA::NA,0.99994063
enhancers::chr12:69829400-69830200::NA::NA,0.99994063
enhancers::chr12:69853200-69854400::NA::NA,0.99989045
enhancers::chr12:69991200-69992400::NA::NA,0.99995565
enhancers::chr12:70017600-70019000::NA::NA,0.9999484
enhancers::chr12:70029000-70029600::NA::NA,0.99977213
enhancers::chr12:70035600-70036600::NA::NA,0.9999714
enhancers::chr12:70044400-70045200::NA::NA,0.9999714
enhancers::chr12:70054000-70054600::NA::NA,0.9999714
enhancers::chr12:70056800-70058400::NA::NA,0.9999714
enhancers::chr12:70113400-70115000::NA::NA,0.9999708
enhancers::chr12:70304000-70304800::NA::NA,0.9998934
enhancers::chr12:70462600-70463200::NA::NA,0.9998981
enhancers::chr12:70498000-70499200::NA::NA,0.9998981
enhancers::chr12:70589800-70591200::NA::NA,0.9998995
enhancers::chr12:70992200-70993200::NA::NA,0.99994755
enhancers::chr12:71084800-71085600::NA::NA,0.99996424
enhancers::chr12:71207200-71208600::NA::NA,0.9999492
enhancers::chr12:71225200-71226000::NA::NA,0.9999492
enhancers::chr12:71387400-71389800::NA::NA,0.9999846
enhancers::chr12:71439600-71440200::NA::NA,0.9999846
enhancers::chr12:71527400-71528400::NA::NA,0.9999863
enhancers::chr12:71553000-71556800::NA::NA,0.9999869
enhancers::chr16:11070400-11075600::NA::NA,0.9999918
enhancers::chr16:14476400-14477000::NA::NA,0.9998596
enhancers::chr16:14489800-14492000::NA::NA,0.9998596
enhancers::chr16:16227400-16228000::NA::NA,0.9998946
enhancers::chr18:20519400-20520200::NA::NA,0.9998386
enhancers::chr18:20560200-20562000::NA::NA,0.9997613
enhancers::chr18:20600600-20601400::NA::NA,0.99986386
enhancers::chr18:20638600-20640200::NA::NA,0.99979585
enhancers::chr18:20648600-20654000::NA::NA,0.99979585
enhancers::chr18:20980600-20982800::NA::NA,0.99988973
enhancers::chr18:21064200-21064800::NA::NA,0.99992573
enhancers::chr18:21116200-21123600::NA::NA,0.99992025
enhancers::chr18:21126400-21129000::NA::NA,0.9999192
enhancers::chr18:21132800-21134200::NA::NA,0.9999343
enhancers::chr18:21148400-21149400::NA::NA,0.9999192
enhancers::chr18:21176200-21176800::NA::NA,0.9999192
enhancers::chr18:21189200-21190000::NA::NA,0.9999192
enhancers::chr18:21332400-21333200::NA::NA,0.99986756
enhancers::chr18:21352600-21353400::NA::NA,0.999869
enhancers::chr18:21378800-21379800::NA::NA,0.99986756
enhancers::chr18:21470000-21471200::NA::NA,0.9998814
enhancers::chr18:21529600-21531800::NA::NA,0.99986744
enhancers::chr18:21740600-21741400::NA::NA,0.9998778
enhancers::chr18:21902400-21903000::NA::NA,0.999941
enhancers::chr18:21949400-21950600::NA::NA,0.999941
enhancers::chr18:22362400-22363000::NA::NA,0.99999774
enhancers::chr18:22510600-22511600::NA::NA,0.9999969
enhancers::chr18:22832600-22833800::NA::NA,0.99999607
enhancers::chr18:22841800-22842600::NA::NA,0.99999607
enhancers::chr18:22893200-22896000::NA::NA,0.99999607
